id_klienta;imie;nazwisko;email;telefon;pesel;data_urodzenia
K00140;Michał;Grabowski;michal.grabowski140@example.com;;77122203118;1977-12-22
K00141;Dariusz;Grabowski;dariusz.grabowski141@mail.test;+48 254 417 281;50101765818;1950-10-17
K00142;Jan;Woźniak;jan.wozniak142@firma.test;775741404;93090349454;1993-09-03
K00143;Antonina;Dąbrowska;antonina.dabrowska143@example.com;+48152581737;98080156522;1998-08-01
K00144;Maria;Kamińska;maria.kaminska144@firma.test;+48 943 534 412;53030389065;1983-09-05
K00145;Mateusz;Kowalski;mateusz.kowalski145@demo.pl;+48472678430;59121932792;1959-12-19
K00146;Piotr;Krawczyk;piotr.krawczyk146@mail.test;331453440;02262539519;2002-06-25
K00147;Barbara;Woźniak;monika#mail.test;933765944;69040476204;1969-04-04
K00148;Piotr;Jankowski;piotr.jankowski148@szkolenie.pl;990354607;54050112314;1954-05-01
K00149;Rafał;Dąbrowski;rafal.dabrowski149@szkolenie.pl;+48 910 860 618;67030786876;1967-03-07
K00150;Elżbieta;Król;elzbieta.krol150@example.com;+48 327 095 658;75071108382;1975-07-11
K00151;Ewa;Kamińska;ewa.kaminska151@dane.test;+48 651 306 305;04291192909;2004-09-11
K00152;Sebastian; ;sebastian.mazur152@szkolenie.pl;;02310147451;2002-11-01
K00153;Andrzej;Nowak;andrzej.nowak153@mail.test;+48 626 290 594;11111111111;1952-03-06
K00154;Maria;Dąbrowska;maria.dabrowska154@example.com;311322721;81031139723;1981-03-11
K00155;Marek;Zieliński;marek@;+48579524676;48080594419;1948-08-05
K00156;Paulina;Szymańska;paulina.szymanska156@firma.test;+48 172 957 476;84122880829;1984-12-28
K00157;Marek;Piotrowski;marek.piotrowski157@example.org;+48 919 421 994;73040827212;1973-04-08
K00158;Jakub;Kowalczyk;@firma.test;548222677;89073189115;1989-07-31
K00159;Antonina;Dąbrowska;antonina.dabrowska159@szkolenie.pl;900019615;82031239680;1982-03-12
K00160;Dorota;Krawczyk;piotr@demo;804544416;80052105120;1980-05-21
K00161;Magdalena;Piotrowska;magdalena.piotrowska161@example.org;+48 795 614 171;79011360746;1979-02-12
K00162;Robert;Grabowski;robert.grabowski162@example.org;626737375;53032305935;1953-03-23
K00163;Elżbieta; ;elzbieta.dabrowska163@demo.pl;365938271;66072390726;1966-07-23
K00164;Artur;Mazur;artur.mazur164@example.com;+48338302567;83112416170;1983-11-24
K00165;Karolina;Dąbrowska;karolina.dabrowska165@example.org;brak;45102251682;1995-06-09
K00166;Beata;Zielińska;beata.zielinska166@demo.pl;780386005;95013022507;1995-01-30
K00167;Natalia;Piotrowska;natalia.piotrowska167@szkolenie.pl;+48342863972;99051138866;1999-05-11
K00168;Sylwia;Woźniak;sylwia.wozniak168@firma.test;891191609;77070663187;1977-07-06
K00169;Ewa;Król;ewa.krol169@mail.test;+48185218229;89120573764;1989-12-05
K00170;Paulina;Kamińska;paulina.kaminska170@dane.test;+48 979 466 533;84112105844;1984-11-21
K00171;Jakub;Zieliński;jakub.zielinski171@demo.pl;+48375434544;67013163535;1967-01-31
K00172;Tomasz;Szymański;tomasz.szymanski172@firma.test;170393390;64112077873;1964-11-20
K00173;Adam;Kowalczyk;adam.kowalczyk173@example.org;+48 851 120 080;72072162498;1972-07-21
K00174;Karolina;Szymańska;karolina.szymanska174@example.org;963025855;91030211344;1991-03-02
K00175;Katarzyna;Zielińska;katarzyna.zielinska175@demo.pl;+48 562 994 540;51101251547;1951-10-12
K00176;Łukasz;Nowak;lukasz.nowak176@example.com;522716773;50021247917;1950-02-12
K00177;Krzysztof;Krawczyk;krzysztof.krawczyk177@mail.test;+48 412 451 873;89040743478;1989-04-07
K00178;Katarzyna;Mazur;katarzyna.mazur178@example.org;+48 649 684 622;69060331622;1969-06-03
K00179;Dariusz;Mazur;dariusz.mazur179@mail.test;+48 344 868 524;65051118971;1965-05-11
K00180;Wojciech;Jankowski;wojciech.jankowski180@szkolenie.pl;+48 779 615 668;96022796036;1996-02-27
K00181;Barbara;Wiśniewska;barbara.wisniewska181@demo.pl;995907216;02291268305;2002-09-12
K00182;Antonina;Woźniak;antonina.wozniak182@demo.pl;+48 513 478 551;97071710145;1997-07-17
K00183;Piotr;Grabowski;piotr.grabowski183@firma.test;673391655;64031848635;1964-03-18
K00184;Piotr;Jankowski;piotr.jankowski184@szkolenie.pl;+48193098604;02241486094;2002-04-14
K00185;Tomasz;Grabowski;tomasz.grabowski185@mail.test;703756720;51120487518;1951-12-04
K00186;Małgorzata;Grabowska;malgorzata.grabowska186@demo.pl;+48 547 868 740;98081221524;1998-08-12
K00187;Jan;Kowalski;jan.kowalski187@example.org;752812298;99022455590;2000-02-24
K00188;Dariusz;Piotrowski;jan.kowalski.example.com;+48256795590;69101681815;1969-10-16
K00189;Anna;Kozłowska;anna.kozlowska189@example.org;+48368637731;68012085725;1968-01-20
K00190;Rafał;Kamiński;rafal.kaminski190@example.com;733153738;60093057910;1960-09-30
K00191;Magdalena;Kowalska;magdalena.kowalska191@demo.pl;+48 222 120 289;97120701043;1997-12-07
K00192;Grzegorz;Piotrowski;grzegorz.piotrowski192@demo.pl;brak;55061276358;1954-06-12
K00193;Mateusz;Kamiński;mateusz.kaminski193@example.com;217324175;04261681457;2004-06-16
K00194;   ;Woźniak;dariusz.wozniak194@firma.test;+48940174199;69070677134;1969-07-06
K00195;Wojciech;Krawczyk;wojciech.krawczyk195@firma.test;+48 886 649 135;59041019317;1959-04-10
K00196;Grzegorz;Krawczyk;grzegorz.krawczyk196@example.com;682473291;88080610551;1988-08-06
K00197;Małgorzata;Lewandowska;malgorzata.lewandowska197@example.org;483606825;84112274681;1984-11-22
K00198;Łukasz;Król;lukasz.krol198@example.org;932685402;84112625289;1963-09-07
K00199;Michał;Kowalczyk;michal.kowalczyk199@example.com;+48146731755;04270507614;2004-07-06
K00200;Ewa;Kamińska;ewa.kaminska200@demo.pl;884621272;64052300808;1964-05-23
K00201;Dariusz;Kowalski;dariusz.kowalski201@example.com;+48595595398;53021114155;1953-02-11
K00202;Michał;Woźniak;michal.wozniak202@dane.test;359749747;78071274257;1978-07-12
K00203;Artur;Grabowski;artur.grabowski203@example.org;+48477609391;93110974370;1993-11-09
K00204;Marta;Nowak;marta.nowak204@mail.test;brak;71053009988;1971-05-30
K00205;Artur;Kowalczyk;artur.kowalczyk205@example.com;+48220725531;94053170436;1994-05-31
K00206;Ewa;Piotrowska;ewa.piotrowska206@example.org;654025511;79011262727;1979-01-12
K00207;Joanna;Krawczyk;joanna.krawczyk207@mail.test;+48 193 992 976;53042588968;1953-04-25
K00208;Agnieszka;Kozłowska;agnieszka.kozlowska208@demo.pl;+48488423707;59051097723;1959-05-10
K00209;Anna;Grabowska;anna.grabowska209@dane.test;+48457560341; ;brak
K00210;Dariusz;Zieliński;marek@;+48921880945;05301824818;2005-10-18
K00211;Karolina;Jankowska;karolina.jankowska211@demo.pl; ;04290134508;2004-09-01
K00212;Andrzej;Kowalski;andrzej.kowalski212@firma.test;;47061888671;1947-06-18
K00213;Agnieszka;Jankowska;agnieszka.jankowska213@dane.test;+48778293091;56093029848;1956-09-30
K00214;Rafał;Grabowski;marek.grabowski33@mail.test;+48 780 883 844;74063033631;1974-06-30
K00215;Michał; ;michal.wisniewski215@mail.test;149359965;48072832134;1948-07-28
K00216;Magdalena;Król;monika#mail.test;+48704782439;02312293648;2002-11-22
K00217;Piotr;Zieliński;piotr.zielinski217@firma.test;+48685143363;53082697817;1953-08-26
K00218;Adam;Król;adam.krol218@example.org;+48539851932;;1974-08-09
K00219;Jan;Kowalczyk;jan.kowalczyk219@firma.test;+48 387 143 333;71090945337;1971-09-09
K00220;Jakub;Woźniak;jakub.wozniak220@dane.test;+48260643560;1234567890;1961-10-23
K00221;Barbara;Nowak;barbara.nowak221@dane.test;12345;00000000000;2000-06-06
K00222;Maria;Lewandowska;maria.lewandowska222@demo.pl;+48 982 921 139;84111225244;1984-11-12
K00223;Karolina;Wiśniewska;karolina.wisniewska223@demo.pl;+48 581 779 696;70090413945;1970-09-04
K00224;Robert;Michalski;ewa test@demo.pl;+48386585312;47100162050;1947-10-01
K00225;Monika;Dąbrowska;monika.dabrowska225@demo.pl;+48438102644;99030680843;1999-03-06
K00226;Barbara;Mazur;ewa test@demo.pl;343101662;97050576267;1997-05-05
K00227;Mateusz;Kowalczyk;mateusz.kowalczyk227@mail.test;+48 240 029 369;94042419858;1994-04-24
K00228;Jan;Wiśniewski;jan.wisniewski228@example.com;+48248407893;86060141192;1986-06-01
K00229;Elżbieta;Dąbrowska;elzbieta.dabrowska229@dane.test;+48547461117;48051617084;1948-05-16
K00230;Marek;Lewandowski;monika#mail.test;+48 746 274 125;97071192415;1997-07-11
K00231;Marta;Zielińska; MARTA.ZIELINSKA231@FIRMA.TEST ;+48 433 393 176;05292757009;2005-09-27
K00232;Dariusz;Dąbrowski;dariusz.dabrowski232@mail.test;+48483617636;49110910351;1949-11-09
K00233;Adam;Król;joanna.grabowska31@demo.pl;756955767;46100414174;1946-10-04
K00234;Artur;;artur.mazur234@szkolenie.pl;+48 456 191 435;01222863956;2001-02-28
K00235;Sebastian;Kozłowski;sebastian.kozlowski235@example.com;+48 734 476 385;52050240970;1952-05-02
K00236;Artur;Lewandowski;artur.lewandowski236@example.com;;60110808873;1960-11-08
K00237;Barbara;Pawłowska;barbara.pawlowska237@szkolenie.pl;+48434568992;51083121322;1951-08-31
K00238;Aleksandra;Kowalczyk;aleksandra.kowalczyk238@szkolenie.pl;605770685;51040223405;1951-04-02
K00239;Rafał;Lewandowski;rafal.lewandowski239@szkolenie.pl;+48 252 367 712;85121790793;1985-12-17
K00240;Ewa;Kamińska;ewa.kaminska240@example.org;;49082699201;1949-08-26
K00241;Paweł;Jankowski;pawel.jankowski241@mail.test;936110415;54102225450;1954-10-22
K00242;Anna;Wiśniewska;anna.wisniewska242@example.org;+48319422199;96013056507;1996-01-30
K00243;Sebastian;Michalski;sebastian.michalski243@firma.test;+48 582 692 227;46121190310;1946-12-11
K00244;   ;Wiśniewski;sebastian.wisniewski244@example.org;;98052315399;1998-05-23
K00245;Artur;Lewandowski;artur.lewandowski245@firma.test;975135233;64071611196;1964-07-16
K00246;Magdalena;Woźniak;magdalena.wozniak246@mail.test;+48228117017;85022886867;1985-02-28
K00247;Mateusz;Pawłowski;mateusz.pawlowski247@demo.pl;211056389;83042841653;1983-04-28
K00248;Michał;Kamiński;michal.kaminski248@example.com;416949962;97022701536;1997-02-27
K00249;Michał;Wójcik;grzegorz.krol306@example.com;618950303;04231462332;2004-03-14
K00250;Michał;Pawłowski;michal.pawlowski250@dane.test;+48211723161;50091678851;1950-09-16
K00251;Karolina;Nowak;karolina.nowak251@example.com;+48298513658;50100875109;1950-10-08
K00252; Karolina;Król;karolina.krol252@dane.test;+48 940 280 578;95020982786;1995-02-09
K00253;Rafał;Woźniak;rafal.wozniak253@example.com;+48254099880;68032535819;1968-03-25
K00254;Antonina;Wiśniewska;antonina.wisniewska254@dane.test;+48808288098;58050114987;1958-05-01
K00255;   ;Michalska;agnieszka.michalska255@example.org;+48137912598;66022667966;1966-02-26
K00256;Maria;Mazur;grzegorz.mazur719@example.com;+48978316112;99121809881;1999-12-18
K00257;Marta;Grabowska;marta.grabowska257@example.com;312788744;68071326122;1968-07-13
K00258;Piotr;Woźniak;;+48496616597;51010632211;1951-01-06
K00259;Jakub;Jankowski;jakub.jankowski259@firma.test;+48537060343;67032347394;1967-03-23
K00260;Sebastian;Grabowski;sebastian.grabowski260@szkolenie.pl;633908109;69042458017;1969-04-24
K00261;Joanna;Król;joanna.krol261@example.org;691985666; ;1950-04-06
K00262;Wojciech;Wiśniewski;wojciech.wisniewski262@mail.test;+48 989 223 777;03211071597;2003-01-10
K00263;Antonina;Kowalczyk;antonina.kowalczyk263@szkolenie.pl;497848362;70091526688;1970-09-15
K00264;Aleksandra;Kowalczyk;aleksandra.kowalczyk264@firma.test;+48796778327;69061623805;1969-06-16
K00265;;Pawłowski;robert.pawlowski265@demo.pl;634692992;11111111111;1947-01-31
K00266;Robert;Kowalski;robert.kowalski266@szkolenie.pl;320930845;91121475099;1991-12-14
K00267;Artur;Michalski;artur.michalski267@demo.pl;+48223892453;68080156211;1968-08-01
K00268;Ewa;Zielińska;ewa.zielinska268@example.com;795743884;45122108320;1945-12-21
K00269;Grzegorz;Woźniak;grzegorz.wozniak269@example.com;813461224;96092294913;1996-09-22
K00270;Monika;Krawczyk;monika.krawczyk270@mail.test;763903861;98090969648;1998-09-09
K00271;Rafał;Piotrowski;rafal.piotrowski271@example.org;+48496057361;56101335011;1956-10-13
K00272;Adam;Pawłowski;adam.pawlowski272@demo.pl;12345;79041604234;1979-04-16
K00273;Joanna;Kozłowska;joanna.kozlowska273@demo.pl;+48 951 352 246;45082686986;1945-08-26
K00274;Aleksandra;Nowak;aleksandra.nowak274@example.com;+48893840824;79041927449;1979-04-19
K00275;Adam;Król;adam.krol275@example.org;+48600823990;64030191055;1964-03-01
K00276;Sylwia;Wójcik;sylwia.wojcik276@mail.test;+48781330356;97050839245;1997-05-08
K00277;Marta;Mazur;marta.mazur277@firma.test;+48643228279;56071800344;1956-07-18
K00278;Marcin;Dąbrowski;marcin.dabrowski278@dane.test;201433353;94050299875;1994-05-02
K00279;Łukasz;Dąbrowski;lukasz.dabrowski279@mail.test;862655115;11111111111;1985-03-20
K00280;Aleksandra;Pawłowska;aleksandra.pawlowska280@szkolenie.pl;+48692073713;54070423625;1954-07-04
K00281;Karolina;Piotrowska;karolina.piotrowska281@dane.test;+48844479057;46042076021;1946-04-20
K00282;Antonina;Wójcik;antonina.wojcik282@example.org;599377916;57020964087;1957-02-09
K00283;Rafał;Krawczyk;rafal.krawczyk283@example.com;797467388;53060213354;1953-06-02
K00284;Michał;Lewandowski;michal.lewandowski284@example.com;+48 107 127 449;45030815534;1945-03-08
K00285;Karolina;Kowalska;karolina.kowalska285@firma.test;+48955393644;47050330741;1947-05-03
K00286;Barbara;Kowalczyk;barbara.kowalczyk286@firma.test;251453028;77122540729;1977-12-25
K00287;Krzysztof;Jankowski;krzysztof.jankowski287@dane.test;+48 365 296 417;68122219856;1968-12-22
K00288;Marta;Nowak;marta.nowak288@szkolenie.pl;+48156937314;54051266425;1954-05-12
K00289;Marcin;Szymański;marcin.szymanski289@example.org;abcdefghi;99050436538;1999-05-04
K00290;Adam;Grabowski;adam.grabowski290@dane.test;985441829;73111843893;1973-11-18
