id;imie;nazwisko;miasto;ilosc;kwota;wspolczynnik
63;Katarzyna;Kowalczyk;Warszawa;104;4661.91;0.980
64;Marcin;Kowalczyk;Katowice;139;1741.54;0.125
65;Krzysztof;Kowalski;Warszawa;376;2533.21;1.000
66;Ewa;Wójcik;Katowice;338;4096.41;0.705
67;Ewa;Szymański;Lublin;353;1083.75;0.421
68;Marcin;Kwiatkowski;Łódź;178;4909.59;1.000
69;Jan;Nowak;Poznań;84;286.45;1.000
70;Michał;Kwiatkowski;Poznań;355;1472.36;0.743
71;Katarzyna;Kowalczyk;Katowice;135;1827.07;0.560
72;Paweł;Wójcik;Warszawa;112;1789.35;0.101
73;Michał;Nowak;Katowice;258;3283.53;0.447
74;Jan;Nowak;Poznań;252;2003.56;0.158
75;Jan;Kowalczyk;Poznań;44;2932.06;0.841
76;Tomasz;Dąbrowski;Lublin;369;4923.80;0.309
77;Tomasz;Kowalski;Lublin;466;2623.55;0.806
78;Jan;Kwiatkowski;Wrocław;16;218.89;0.992
79;Maria;Lewandowski;Katowice;322;104.01;0.844
80;Agnieszka;Zieliński;Poznań;234;3990.51;1.000
81;Piotr;Dąbrowski;Kraków;378;2374.55;1.000
82;Krzysztof;Wójcik;Wrocław;379;3253.16;0.744
83;Michał;Nowak;Katowice;393;243.27;0.986
84;Marcin;Nowak;Łódź;131;3261.16;1.000
85;Tomasz;Kowalski;Katowice;249;1351.18;1.000
86;Marcin;Dąbrowski;Katowice;363;2587.51;0.751
87;Andrzej;Mazur;Kraków;103;1565.26;0.220
88;Ewa;Kowalski;Poznań;40;4101.29;1.000
89;Andrzej;Kowalczyk;Lublin;470;4728.48;0.395
90;Piotr;Wiśniewski;Poznań;68;3020.80;0.984
91;Krzysztof;Nowak;Gdańsk;-255;4489.55;0.781
92;Jan;Wiśniewski;Warszawa;349;2259.29;0.523
93;Tomasz;Lewandowski;Gdańsk;162;613.34;0.564
94;Paweł;Mazur;Gdańsk;62;4700.01;0.374
95;Jan;Kozłowski;Poznań;191;334.24;0.646
96;Piotr;Kamiński;Lublin;438;250.86;0.242
97;Magdalena;Dąbrowski;Łódź;498;1335.98;0.815
98;Marcin;Mazur;Gdańsk;453;154.77;1.000
99;Michał;Szymański;Wrocław;26;4667.99;0.675
100;Tomasz;Dąbrowski;Poznań;26;4560.41;0.870
101;Katarzyna;Zieliński;Lublin;145;1495.88;1.000
102;Krzysztof;Lewandowski;Wrocław;248;2791.04;0.652
103;Katarzyna;Dąbrowski;Łódź;107;2508.02;1.000
104;Agnieszka;Zieliński;Gdańsk;219;706.58;0.369
105;Piotr;Wiśniewski;Gdańsk;164;1203.24;0.548
106;Marcin;Kowalski;Lublin;212;3731.74;0.394
107;Krzysztof;Kamiński;Warszawa;143;2875.66;0.604
108;Marcin;Nowak;Poznań;197;2004.79;0.724
109;Magdalena;Kwiatkowski;Warszawa;17;2131.75;1.000
110;Ewa;Woźniak;Katowice;252;1963.69;1.000
111;Andrzej;Zieliński;Wrocław;252;780.35;0.831
112;Maria;Kwiatkowski;Katowice;283;3886.54;0.102
113;Tomasz;Wójcik;Warszawa;367;1525.87;0.279
114;Krzysztof;Szymański;Lublin;51;361.06;0.834
115;Marcin;Lewandowski;Poznań;405;3009.29;0.115
116;Magdalena;Zieliński;Poznań;331;4198.66;0.439
117;Agnieszka;Szymański;Wrocław;492;2064.93;1.000
118;Anna;Kowalski;Wrocław;454;3375.57;0.688
119;Krzysztof;Wójcik;Lublin;117;2469.79;1.000
120;Brak danych;Kamiński;Lublin;4;3987.35;1.000
121;Piotr;Wójcik;Katowice;160;3831.63;0.372
122;Andrzej;Wójcik;Poznań;56;4760.12;0.794
123;Katarzyna;Wójcik;Katowice;467;3329.82;1.000
124;Tomasz;Lewandowski;Warszawa;13;4870.86;0.299
125;Anna;Kozłowski;Warszawa;202;2253.71;1.000
126;Paweł;Kozłowski;Kraków;477;836.51;0.367
127;Andrzej;Kowalski;Poznań;430;1875.68;0.564
128;Katarzyna;Nowak;Warszawa;144;413.01;0.688
129;Maria;Szymański;Wrocław;183;3845.97;0.532
130;Barbara;Nowak;Warszawa;252;986.62;0.858
131;Andrzej;Wójcik;Gdańsk;378;4486.00;0.142
132;Barbara;Wójcik;Lublin;193;183.92;0.188
133;Anna;Kowalczyk;Wrocław;461;3032.03;0.608
134;Paweł;Woźniak;Warszawa;383;3586.01;0.543
135;Krzysztof;Kowalczyk;Warszawa;387;2981.89;1.000
136;Piotr;Kowalski;Wrocław;244;3580.70;0.752
137;Michał;Mazur;Poznań;418;2472.43;1.000
138;Katarzyna;Kowalski;Poznań;311;1188.35;1.000
139;Andrzej;Kamiński;Kraków;102;1964.51;0.324
140;Barbara;Nowak;Warszawa;283;2727.64;0.325
141;Barbara;Nowak;Kraków;320;429.57;0.235
142;Ewa;Kozłowski;Katowice;120;673.33;0.745
143;Agnieszka;Kozłowski;Kraków;151;1404.19;0.475
144;Krzysztof;Kozłowski;Poznań;225;1244.67;0.443
145;Tomasz;Kowalczyk;Wrocław;34;2476.15;1.000
146;Agnieszka;Dąbrowski;Kraków;238;4954.87;0.243
147;Ewa;Kwiatkowski;Wrocław;469;1875.64;1.000
148;Agnieszka;Nowak;Warszawa;252;4865.10;0.916
149;Piotr;Kamiński;Łódź;309;1307.14;1.000
150;Jan;Nowak;Gdańsk;20;1849.86;0.298
151;Marcin;Kowalczyk;Warszawa;375;3261.70;0.385
152;Jan;Kwiatkowski;Gdańsk;348;1865.33;0.969
153;Piotr;Wójcik;Warszawa;254;2744.74;0.189
154;Maria;Mazur;Lublin;328;2674.65;1.000
155;Michał;Kozłowski;Poznań;146;3342.38;0.685
156;Anna;Kowalczyk;Gdańsk;214;100.88;1.000
157;Joanna;Dąbrowski;Wrocław;373;2030.82;1.000
158;Barbara;Wiśniewski;Lublin;421;461.54;0.909
159;Joanna;Zieliński;Łódź;8;267.96;0.299
160;Michał;Nowak;Gdańsk;75;1746.25;0.327
161;Katarzyna;Nowak;Kraków;252;3770.24;1.000
162;Marcin;Kowalczyk;Łódź;500;4564.87;0.540
163;Michał;Nowak;Łódź;318;2028.38;1.000
164;Ewa;Wiśniewski;Wrocław;205;4693.36;0.319
165;Joanna;Nowak;Łódź;497;3627.16;1.000
166;Anna;Szymański;Warszawa;430;1627.77;0.646
167;Andrzej;Szymański;Poznań;158;2917.30;0.696
168;Joanna;Zieliński;Katowice;12;27.51;1.000
169;Andrzej;Wójcik;Katowice;429;906.05;0.763
170;Maria;Nowak;Łódź;221;1833.01;1.000
171;Anna;Kowalski;Łódź;473;3670.07;1.000
172;Piotr;Kowalski;Lublin;14;4286.78;1.000
173;Maria;Wójcik;Łódź;148;4783.63;1.000
174;Katarzyna;Dąbrowski;Wrocław;427;1760.98;1.000
175;Katarzyna;Kamiński;Poznań;74;1278.27;1.000
176;Ewa;Wójcik;Poznań;164;1867.61;0.370
177;Michał;Wiśniewski;Poznań;459;1890.44;1.000
178;Krzysztof;Nowak;Warszawa;440;1805.30;1.000
179;Maria;Kowalczyk;Lublin;136;1884.94;0.617
180;Tomasz;Kamiński;Gdańsk;227;1157.94;0.962
181;Anna;Kowalczyk;Poznań;328;4830.13;1.000
182;Paweł;Kozłowski;Warszawa;-18;1115.97;0.507
183;Barbara;Lewandowski;Gdańsk;68;2447.09;0.958
184;Anna;Kowalski;Warszawa;291;1781.26;0.249
185;Joanna;Szymański;Wrocław;252;1512.76;0.287
186;Joanna;Woźniak;Katowice;69;80.42;1.000
187;Tomasz;Zieliński;Kraków;327;732.01;1.000
188;Krzysztof;Lewandowski;Poznań;29;3228.29;0.887
189;Joanna;Woźniak;Katowice;128;833.84;0.101
190;Anna;Szymański;Warszawa;96;1195.97;0.182
191;Maria;Kowalski;Wrocław;212;1005.60;0.951
192;Barbara;Kwiatkowski;Łódź;159;328.20;0.976
193;Ewa;Kozłowski;Warszawa;433;2188.87;1.000
194;Piotr;Kozłowski;Katowice;116;4983.09;0.466
195;Anna;Nowak;Gdańsk;365;272.14;0.990
196;Barbara;Dąbrowski;Poznań;329;4643.57;1.000
197;Piotr;Szymański;Warszawa;134;4524.47;1.000
198;Marcin;Wiśniewski;Gdańsk;451;1949.65;0.942
199;Michał;Kwiatkowski;Katowice;430;2657.79;0.109
200;Jan;Lewandowski;Brak danych;405;1067.71;0.972
201;Piotr;Woźniak;Łódź;17;144.24;0.249
202;Katarzyna;Kamiński;Łódź;16;217.83;1.000
203;Anna;Kozłowski;Kraków;24;338.17;0.927
204;Joanna;Wójcik;Kraków;484;1925.37;0.445
205;Marcin;Nowak;Warszawa;487;4240.11;1.000
206;Piotr;Kwiatkowski;Poznań;52;671.94;1.000
207;Marcin;Kowalczyk;Gdańsk;217;1313.19;0.591
208;Magdalena;Kowalski;Gdańsk;394;4820.36;0.805
209;Magdalena;Woźniak;Warszawa;212;165.93;0.826
210;Maria;Kamiński;Katowice;276;2834.83;0.548
211;Piotr;Woźniak;Poznań;224;16.48;0.383
212;Anna;Kowalski;Gdańsk;49;2462.51;1.000
213;Katarzyna;Zieliński;Gdańsk;296;4719.91;0.497
214;Marcin;Kozłowski;Wrocław;85;558.52;0.991
215;Piotr;Zieliński;Kraków;168;1784.53;0.548
216;Michał;Kozłowski;Kraków;455;3232.85;0.621
217;Magdalena;Kowalczyk;Lublin;195;4912.23;0.983
218;Andrzej;Wiśniewski;Warszawa;298;1640.03;0.317
219;Andrzej;Dąbrowski;Gdańsk;238;2199.60;1.000
220;Agnieszka;Wiśniewski;Gdańsk;252;4426.78;0.433
221;Marcin;Kowalczyk;Poznań;371;788.37;0.447
222;Paweł;Woźniak;Gdańsk;252;1647.09;0.365
223;Maria;Wiśniewski;Kraków;197;763.29;0.308
224;Magdalena;Kozłowski;Poznań;141;988.99;0.993
225;Maria;Kowalczyk;Wrocław;238;179.32;0.659
226;Barbara;Kozłowski;Wrocław;238;120.37;0.460
227;Michał;Kowalski;Wrocław;359;2874.15;1.000
228;Barbara;Kwiatkowski;Wrocław;348;915.71;0.274
229;Barbara;Kamiński;Poznań;459;2103.71;1.000
230;Katarzyna;Kowalczyk;Lublin;234;108.09;1.000
231;Katarzyna;Dąbrowski;Gdańsk;200;4161.04;1.000
232;Maria;Kowalski;Poznań;83;3583.92;1.000
233;Marcin;Szymański;Gdańsk;434;2877.06;0.857
234;Ewa;Szymański;Warszawa;406;4146.64;0.830
235;Barbara;Kozłowski;Katowice;351;927.18;0.819
236;Maria;Kozłowski;Gdańsk;130;1379.04;0.660
237;Jan;Nowak;Lublin;322;3494.28;0.593
238;Krzysztof;Nowak;Wrocław;380;2008.38;1.000
239;Agnieszka;Mazur;Lublin;109;831.02;1.000
240;Brak danych;Mazur;Wrocław;329;2814.65;0.416
241;Tomasz;Kamiński;Lublin;151;3801.84;1.000
242;Ewa;Kamiński;Wrocław;361;1886.98;0.455
243;Barbara;Dąbrowski;Łódź;2;4029.13;1.000
244;Joanna;Wójcik;Poznań;246;2429.75;0.973
245;Piotr;Dąbrowski;Gdańsk;476;1522.81;0.639
246;Piotr;Kwiatkowski;Gdańsk;272;4158.33;0.986
247;Jan;Dąbrowski;Warszawa;488;369.28;0.510
248;Maria;Woźniak;Łódź;96;3883.76;0.585
249;Tomasz;Wójcik;Lublin;313;4456.77;0.952
250;Piotr;Dąbrowski;Poznań;254;3467.04;0.843
251;Andrzej;Dąbrowski;Kraków;61;1329.83;0.428
252;Tomasz;Zieliński;Katowice;248;2340.80;0.302
253;Ewa;Wójcik;Katowice;277;3002.01;1.000
254;Katarzyna;Kwiatkowski;Gdańsk;357;2817.22;1.000
255;Andrzej;Kamiński;Lublin;492;3382.97;0.353
256;Joanna;Dąbrowski;Warszawa;313;238.89;1.000
257;Paweł;Mazur;Kraków;248;2428.53;1.000
258;Anna;Wójcik;Lublin;174;481.38;1.000
259;Paweł;Zieliński;Wrocław;252;1716.36;0.452
260;Anna;Kwiatkowski;Poznań;252;4140.39;0.665
261;Krzysztof;Kwiatkowski;Gdańsk;336;2466.04;0.265
262;Marcin;Kamiński;Poznań;301;4864.02;0.223
263;Anna;Lewandowski;Lublin;205;1509.03;0.109
264;Marcin;Kwiatkowski;Katowice;404;2509.21;0.860
265;Michał;Woźniak;Łódź;449;3408.09;0.398
266;Andrzej;Dąbrowski;Łódź;340;914.68;0.152
267;Maria;Dąbrowski;Warszawa;447;4114.83;1.000
268;Krzysztof;Kwiatkowski;Poznań;216;180.86;0.129
269;Anna;Zieliński;Warszawa;61;3871.15;0.690
270;Michał;Zieliński;Kraków;349;1941.84;0.929
271;Tomasz;Zieliński;Lublin;43;3226.08;0.397
272;Tomasz;Dąbrowski;Warszawa;3;56.54;1.000
273;Piotr;Wójcik;Kraków;-242;98.71;1.000
274;Agnieszka;Zieliński;Łódź;188;3872.38;1.000
275;Tomasz;Kozłowski;Kraków;322;2791.87;0.797
276;Krzysztof;Kowalski;Warszawa;32;83.50;1.000
277;Piotr;Lewandowski;Poznań;374;3004.60;1.000
278;Ewa;Woźniak;Warszawa;189;4744.31;1.000
279;Ewa;Dąbrowski;Łódź;495;3988.83;0.609
280;Katarzyna;Dąbrowski;Lublin;198;3892.69;0.734
281;Krzysztof;Mazur;Gdańsk;144;312.58;1.000
282;Paweł;Kwiatkowski;Warszawa;78;3009.68;0.532
283;Barbara;Wójcik;Lublin;351;1887.24;1.000
284;Agnieszka;Mazur;Katowice;353;18.41;0.468
285;Barbara;Wiśniewski;Warszawa;427;711.94;1.000
286;Tomasz;Kowalczyk;Katowice;274;434.47;0.875
287;Michał;Wójcik;Wrocław;311;297.23;0.654
288;Marcin;Kowalczyk;Warszawa;198;2303.99;0.223
289;Joanna;Mazur;Kraków;204;2902.16;1.000
290;Paweł;Zieliński;Wrocław;109;2476.15;0.353
291;Magdalena;Kamiński;Gdańsk;400;2590.91;0.309
292;Anna;Zieliński;Gdańsk;191;3167.38;1.000
293;Tomasz;Kamiński;Warszawa;144;2602.09;0.129
294;Anna;Wójcik;Katowice;134;4628.22;0.492
295;Maria;Zieliński;Łódź;432;198.97;0.381
296;Katarzyna;Lewandowski;Kraków;252;183.70;0.617
297;Andrzej;Zieliński;Kraków;328;1993.01;0.268
298;Piotr;Kowalczyk;Gdańsk;329;458.02;1.000
299;Michał;Wiśniewski;Katowice;190;4829.18;1.000
300;Agnieszka;Wiśniewski;Warszawa;482;1766.53;1.000
301;Jan;Kwiatkowski;Warszawa;403;2571.54;1.000
302;Ewa;Kowalski;Kraków;163;3777.20;1.000
303;Magdalena;Woźniak;Katowice;242;1626.35;0.460
304;Maria;Kamiński;Katowice;87;2212.51;1.000
305;Jan;Zieliński;Wrocław;81;4639.12;0.409
306;Joanna;Kozłowski;Łódź;491;493.97;1.000
307;Jan;Dąbrowski;Kraków;498;1705.50;1.000
308;Ewa;Nowak;Gdańsk;170;1116.04;0.179
309;Andrzej;Szymański;Łódź;446;755.47;0.686
310;Agnieszka;Wiśniewski;Warszawa;293;4199.42;0.568
311;Katarzyna;Kowalczyk;Katowice;163;2286.36;0.775
312;Tomasz;Szymański;Warszawa;459;3940.15;1.000
313;Ewa;Kwiatkowski;Poznań;132;3776.71;1.000
314;Barbara;Kowalczyk;Wrocław;50;1956.82;0.682
315;Katarzyna;Kowalski;Poznań;328;89.98;0.548
316;Paweł;Szymański;Łódź;1;3949.93;1.000
317;Magdalena;Wiśniewski;Gdańsk;21;4560.79;0.406
318;Katarzyna;Wiśniewski;Łódź;395;1159.80;0.346
319;Piotr;Kwiatkowski;Kraków;375;2482.45;0.483
320;Marcin;Wiśniewski;Wrocław;104;60.08;1.000
321;Barbara;Kwiatkowski;Warszawa;416;1744.73;0.494
322;Ewa;Nowak;Warszawa;467;3817.27;0.287
323;Krzysztof;Wójcik;Łódź;426;4928.71;0.151
324;Joanna;Woźniak;Warszawa;267;4661.27;1.000
325;Piotr;Nowak;Gdańsk;419;4151.93;1.000
326;Michał;Woźniak;Warszawa;447;547.37;1.000
327;Andrzej;Szymański;Warszawa;412;2691.28;0.129
328;Piotr;Wójcik;Łódź;53;1566.45;0.878
329;Jan;Kowalski;Kraków;379;983.47;0.125
330;Andrzej;Szymański;Wrocław;252;1759.99;0.231
331;Katarzyna;Kowalski;Poznań;239;2473.02;0.801
332;Krzysztof;Nowak;Kraków;208;4423.35;0.858
333;Agnieszka;Kwiatkowski;Wrocław;252;0.00;1.000
334;Katarzyna;Kwiatkowski;Warszawa;200;3472.41;0.936
335;Anna;Lewandowski;Warszawa;186;1699.36;0.437
336;Paweł;Kozłowski;Lublin;418;2008.95;0.886
337;Paweł;Szymański;Łódź;128;4353.78;1.000
338;Jan;Kamiński;Kraków;96;355.63;0.706
339;Jan;Wójcik;Łódź;497;1991.29;1.000
340;Andrzej;Dąbrowski;Warszawa;453;4866.73;0.156
341;Krzysztof;Dąbrowski;Poznań;319;511.52;0.270
342;Jan;Lewandowski;Wrocław;148;574.09;0.587
343;Katarzyna;Nowak;Warszawa;492;4780.86;0.819
344;Krzysztof;Nowak;Katowice;226;628.36;0.284
345;Magdalena;Lewandowski;Poznań;125;3682.29;1.000
346;Magdalena;Kwiatkowski;Katowice;333;1939.39;0.868
347;Joanna;Zieliński;Poznań;241;4095.91;0.143
348;Paweł;Wójcik;Wrocław;497;2932.56;0.117
349;Joanna;Wiśniewski;Wrocław;286;1634.13;0.478
350;Marcin;Kowalczyk;Warszawa;12;801.25;0.194
351;Joanna;Zieliński;Warszawa;199;4173.31;0.596
352;Maria;Szymański;Wrocław;214;1691.71;0.590
353;Marcin;Woźniak;Poznań;379;4282.75;1.000
354;Ewa;Kowalczyk;Łódź;446;525.75;0.675
355;Maria;Zieliński;Lublin;214;4251.23;0.491
356;Maria;Lewandowski;Katowice;148;3618.07;0.510
357;Michał;Szymański;Lublin;4;3937.52;1.000
358;Ewa;Lewandowski;Katowice;95;2689.00;1.000
359;Barbara;Woźniak;Lublin;46;4109.97;0.562
360;Brak danych;Kamiński;Wrocław;457;4553.76;0.115
361;Anna;Kowalczyk;Katowice;472;2686.86;0.537
362;Barbara;Szymański;Lublin;238;1794.98;0.933
363;Joanna;Zieliński;Warszawa;35;2630.99;0.239
364;Joanna;Szymański;Lublin;-451;949.19;0.690
365;Michał;Zieliński;Gdańsk;88;1819.96;0.613
366;Piotr;Kwiatkowski;Poznań;57;3283.07;0.513
367;Paweł;Kwiatkowski;Lublin;269;1456.73;0.816
368;Marcin;Lewandowski;Łódź;323;2829.11;0.249
369;Anna;Kozłowski;Lublin;404;23.87;1.000
370;Jan;Kowalczyk;Lublin;252;87.05;0.141
371;Katarzyna;Zieliński;Poznań;295;1000.75;0.942
372;Tomasz;Wiśniewski;Kraków;52;389.89;1.000
373;Ewa;Kwiatkowski;Katowice;413;4003.49;1.000
374;Paweł;Wiśniewski;Wrocław;142;855.38;0.473
375;Maria;Kwiatkowski;Kraków;99;2254.69;0.640
376;Anna;Wójcik;Lublin;226;282.38;0.434
377;Agnieszka;Kowalski;Łódź;438;875.92;0.109
378;Andrzej;Kowalczyk;Lublin;492;4435.30;1.000
379;Piotr;Wójcik;Lublin;212;1552.70;1.000
380;Ewa;Kowalski;Wrocław;89;857.92;0.631
381;Jan;Kowalczyk;Lublin;59;1681.72;1.000
382;Paweł;Lewandowski;Kraków;217;4130.87;0.592
383;Agnieszka;Lewandowski;Wrocław;146;1728.95;0.710
384;Krzysztof;Dąbrowski;Warszawa;413;787.91;1.000
385;Piotr;Wójcik;Poznań;285;2222.11;1.000
386;Agnieszka;Wiśniewski;Gdańsk;111;3615.11;0.628
387;Marcin;Kowalczyk;Katowice;117;4293.37;1.000
388;Krzysztof;Woźniak;Katowice;274;1238.79;0.951
389;Marcin;Wiśniewski;Kraków;263;466.43;1.000
390;Michał;Kowalski;Łódź;252;1955.77;0.220
391;Katarzyna;Mazur;Wrocław;97;3317.12;0.253
392;Joanna;Mazur;Poznań;34;3596.41;0.223
393;Magdalena;Wiśniewski;Lublin;183;2022.86;1.000
394;Tomasz;Kowalczyk;Łódź;188;3401.33;1.000
395;Joanna;Lewandowski;Warszawa;361;3499.25;0.448
396;Michał;Kamiński;Kraków;150;585.01;1.000
397;Agnieszka;Kozłowski;Warszawa;21;3046.56;0.703
398;Magdalena;Wiśniewski;Lublin;283;1561.48;0.994
399;Katarzyna;Woźniak;Wrocław;367;2608.69;1.000
400;Joanna;Kowalski;Brak danych;147;4506.34;1.000
401;Anna;Wójcik;Kraków;406;1599.57;1.000
402;Joanna;Kozłowski;Kraków;356;3722.23;1.000
403;Agnieszka;Kowalczyk;Kraków;485;4748.56;0.720
404;Paweł;Kozłowski;Katowice;347;3494.29;0.700
405;Tomasz;Zieliński;Wrocław;488;3516.67;1.000
406;Krzysztof;Wiśniewski;Łódź;279;1308.78;1.000
407;Katarzyna;Kamiński;Gdańsk;252;1015.04;0.535
408;Tomasz;Dąbrowski;Katowice;122;3531.05;0.108
409;Andrzej;Wiśniewski;Gdańsk;69;4424.58;0.299
410;Agnieszka;Kamiński;Kraków;218;3804.98;0.337
411;Tomasz;Woźniak;Katowice;426;1039.56;1.000
412;Jan;Kamiński;Katowice;23;311.06;0.493
413;Marcin;Nowak;Poznań;493;573.81;0.554
414;Andrzej;Woźniak;Gdańsk;87;2792.08;0.164
415;Andrzej;Mazur;Katowice;383;3588.54;1.000
416;Krzysztof;Nowak;Katowice;251;957.14;0.860
417;Jan;Kamiński;Kraków;147;3142.44;1.000
418;Krzysztof;Dąbrowski;Wrocław;71;3739.77;0.135
419;Michał;Kwiatkowski;Łódź;189;936.82;0.993
420;Katarzyna;Nowak;Poznań;195;930.87;0.548
421;Paweł;Wójcik;Gdańsk;283;4599.37;1.000
422;Krzysztof;Wójcik;Warszawa;55;2838.68;0.979
423;Michał;Kowalski;Wrocław;217;2502.66;0.320
424;Magdalena;Woźniak;Kraków;353;1145.22;0.294
425;Michał;Nowak;Warszawa;226;2402.21;0.406
426;Joanna;Kowalski;Warszawa;313;4278.09;1.000
427;Barbara;Wiśniewski;Poznań;339;285.94;1.000
428;Paweł;Nowak;Katowice;342;4780.48;0.347
429;Katarzyna;Lewandowski;Poznań;227;4022.78;1.000
430;Marcin;Zieliński;Kraków;166;2588.73;0.548
431;Tomasz;Lewandowski;Kraków;371;3385.47;0.953
432;Magdalena;Woźniak;Lublin;247;3285.92;0.292
433;Paweł;Szymański;Warszawa;97;1120.19;1.000
434;Piotr;Wiśniewski;Gdańsk;185;2654.59;0.891
435;Michał;Kowalczyk;Kraków;93;2476.15;0.384
436;Maria;Wójcik;Poznań;97;2658.57;0.452
437;Ewa;Wójcik;Katowice;278;2867.81;0.258
438;Piotr;Kwiatkowski;Lublin;410;2203.24;1.000
439;Maria;Dąbrowski;Kraków;426;3432.95;0.862
440;Marcin;Woźniak;Katowice;252;1873.09;0.960
441;Michał;Wójcik;Warszawa;22;85.70;0.932
442;Marcin;Zieliński;Poznań;363;686.62;1.000
443;Piotr;Woźniak;Wrocław;470;3643.77;0.597
444;Joanna;Kozłowski;Gdańsk;252;1285.52;0.435
445;Joanna;Kozłowski;Katowice;419;3022.94;0.240
446;Paweł;Mazur;Kraków;474;4552.04;0.439
447;Joanna;Wójcik;Katowice;430;4943.77;0.716
448;Jan;Zieliński;Kraków;410;1299.53;0.310
449;Magdalena;Kwiatkowski;Lublin;302;4378.26;0.854
450;Krzysztof;Zieliński;Warszawa;176;4972.48;0.782
451;Ewa;Kwiatkowski;Warszawa;429;186.94;0.355
452;Michał;Kwiatkowski;Katowice;355;4227.11;0.651
453;Piotr;Kamiński;Gdańsk;160;4470.98;0.925
454;Anna;Wójcik;Łódź;373;2344.12;0.908
455;Michał;Kamiński;Gdańsk;-172;2900.02;0.567
456;Jan;Wójcik;Katowice;324;737.69;1.000
457;Krzysztof;Lewandowski;Poznań;257;4956.88;0.600
458;Tomasz;Kozłowski;Warszawa;463;3856.85;1.000
459;Barbara;Dąbrowski;Kraków;406;1415.10;1.000
460;Tomasz;Dąbrowski;Kraków;494;3819.03;1.000
461;Agnieszka;Kamiński;Lublin;31;3524.08;1.000
