id;imie;nazwisko;miasto;ilosc;kwota;wpsolczynnik
63;Katarzyna;Kowalczyk;warszawa;104;4661.91;0.98
64;Marcin;KOWALCZYK;katowice;139;1741.54;0,125
65;Krzysztof;Kowalski;Warszawa;376;2533,21;1.469
66;Ewa;Wójcik;Katowice;338;4096.41;0.705
67;Ewa;Szymański;LUBLIN;353;1083.75;0.421
68;Marcin;Kwiatkowski;LODZ;178;4909.59;1,272
69;Jan;Nowak;POZNAŃ;84;286.45 zł;1.031
70;Michał;Kwiatkowski;Poznan;355;1472,36;0.743
71;Katarzyna;Kowalczyk;Katowice;135;1827.07;0.56
72;Paweł;Wójcik;WARSZAWA;112;1789.35;0,101
73;michał;Nowak;KATOWICE;258;3283.53;0.447
74;Jan;Nowak;Poznań;74 szt;2003.56;0.158
75;Jan;Kowalczyk;Poznan;44;2932,06;0.841
76;Tomasz;Dąbrowski;LUBLIN;369;4923.80;0,309
77;Tomasz;Kowalski;lublin;466;2623.55;0.806
78;Jan;Kwiatkowski;Wrocław;16;218.89;0.992
79;Maria;Lewandowski;Katowice;322;104.01;0.844
80;Agnieszka;Zieliński;Poznań;234;3990,51;1,148
81;Piotr;Dąbrowski;Krakow ;378;2374.55;1.233
82;Krzysztof;Wójcik;Wroclaw;379;3253.16;0.744
83;Michał;Nowak;KATOWICE;393;243.27;0.986
84;Marcin;Nowak;łódź;131;3261.16;1,07
85;Tomasz;Kowalski;Katowice;249;1351,18;1.041
86;Marcin;Dąbrowski;KATOWICE;363;2587.51;0.751
87;Andrzej;Mazur;Kraków ;103;1565.26;0.22
88;Ewa;Kowalski;POZNAŃ;40;4101.29;145%
89;Andrzej;Kowalczyk;lublin;470;4728.48;0.395
90;Piotr;Wiśniewski;poznan;68;3020,80;0.984
91;Krzysztof;Nowak;Gdansk;-255;4489.55;0.781
92;Jan;Wiśniewski; Warszawa;349;2259.29 zł;0,523
93;Tomasz;Lewandowski;GDAŃSK;162;613.34;0.564
94;Paweł;Mazur;GDAŃSK;62;4700.01;0.374
95;Jan;Kozłowski;poznan;191;334,24;0.646
96;Piotr;Kamiński;LUBLIN;438;250.86;0,242
97;Magdalena;Dąbrowski;Lodz;498;1335.98;0.815
98;Marcin;Mazur;GDAŃSK;453;154.77;1.166
99;Michał;Szymański;Wrocław;26;4667.99;0.675
100;  Tomasz ;Dąbrowski;POZNAŃ;26;4560,41;0,87
101;Katarzyna;Zieliński;LUBLIN;145;1495.88;1.135
102;Krzysztof;Lewandowski;wroclaw;248;2791.04;0.652
103;Katarzyna;Dąbrowski;Łódź;107;2508.02;1.237
104;Agnieszka;Zieliński;GDAŃSK;219;706.58;0,369
105;Piotr;Wiśniewski;Gdańsk;164;1203,24;
106;Marcin;Kowalski;Lubln;212;3731.74;0.394
107;Krzysztof;Kamiński; Warszawa;143;2875.66;0.604
108;Marcin;Nowak;Poznan;197;2004.79;0,724
109;Magdalena;Kwiatkowski;warszawa;17;2131.75;1.169
110;Ewa;Woźniak;Katowice;;1963,69;1.398
111;Andrzej;Zieliński;Wrocław;115 szt;780.35;0.831
112;Maria;Kwiatkowski;Katowice;283;3886.54;0,102
113;Tomasz;Wójcik;Wwa;367;1525.87;0.279
114;Krzysztof;Szymański;Lublin;51;361.06;0.834
115;Marcin;Lewandowski;Poznan;405;3009,29 zł;0.115
116;Magdalena;Zieliński;poznan;331;4198.66;0,439
117;Agnieszka;Szymański;Wrocław;492;2064.93;1.01
118;Anna;Kowalski;WROCŁAW;454;3375.57;0.688
119;Krzysztof;Wójcik;LUBLIN;117;2469.79;1.074
120;;Kamiński;lublin;4;3 987.35;1,135
121;Piotr;Wójcik;katowice;160;3831.63;0.372
122;Andrzej;Wójcik;poznan;56;4760.12;0.794
123;Katarzyna;Wójcik;Katowic;467;3329.82;1.428
124;Tomasz;Lewandowski;warszawa;13;4870.86;0,299
125;Anna;Kozłowski;warszawa;202;2253,71;1.097
126;Paweł;Kozłowski;Kraków;477;836.51;0.367
127;Andrzej;Kowalski;POZNAŃ;430;1875.68;0.564
128;Katarzyna;NOWAK;Warszawa;144;413.01;0,688
129;Maria;Szymański;WROCŁAW;183;3845.97;0.532
130;Barbara;Nowak;Wwa;abc;986,62;0.858
131;Andrzej;Wójcik;gdansk;378;4486.00;0.142
132;Barbara;Wójcik;Lublin;193;183.92;0,188
133;Anna;Kowalczyk;Wrocław;461;3032.03;0.608
134;Paweł;Woźniak;WARSZAWA;383;3586.01;0.543
135;Krzysztof;Kowalczyk;Wwa;387;2981,89;1.228
136;Piotr;Kowalski;Wrocław;244;3580.70;0,752
137;Michał;Mazur;POZNAŃ;418;2472.43;1.399
138;Katarzyna;Kowalski;Poznan;311;1188.35 zł;1.306
139;Andrzej;Kamiński;Kraków ;102;1964.51;0.324
140;Barbara;Nowak  ; Warszawa;283;2727,64;0,325
141;Barbara;Nowak;Krakow;320;429.57;0.235
142;Ewa;Kozłowski;katowice;120;673.33;0.745
143;Agnieszka;Kozłowski;Krakow;151;1404.19;0.475
144;Krzysztof;Kozłowski;Poznan;225;1244.67;0,443
145;Tomasz;Kowalczyk;wroclaw;34;;1.489
146;agnieszka;Dąbrowski;Krakow ;238;4954.87;0.243
147;Ewa;Kwiatkowski;WROCŁAW;469;1875.64;1.328
148;Agnieszka;Nowak;warszawa;308 szt;4865.10;0,916
149;Piotr;Kamiński;LODZ;309;1307.14;1.189
150;  Jan ;Nowak;Gdansk;20;1849,86;0.298
151;Marcin;Kowalczyk;Warszawa ;375;3261.70;0.385
152;Jan;Kwiatkowski;GDAŃSK;348;1865.33;0,969
153;Piotr;Wójcik;Warszwa;254;2744.74;0.189
154;Maria;Mazur;lublin;328;2674.65;1.014
155;Michał;Kozłowski;POZNAŃ;146;3342,38;0.685
156;Anna;Kowalczyk;GDAŃSK;214;100.88;1,173
157;Joanna;Dąbrowski;WROCŁAW;373;2030.82;1.419
158;Barbara;Wiśniewski;Lublin;421;461.54;0.909
159;Joanna;Zieliński;Lodz;8;267.96;0.299
160;Michał;Nowak;Gdansk;75;1746,25;0,327
161;Katarzyna;Nowak;KRAKÓW;252;3770.24 zł;1.209
162;Marcin;Kowalczyk;Łódź;500;4564.87;0.54
163;Michał;Nowak;Lodz;318;2028.38;1.285
164;Ewa;Wiśniewski;Wrocław;205;4693.36;0,319
165;Joanna;Nowak;Lodz;497;3627,16;1.356
166;Anna;Szymański;Wwa;430;1627.77;0.646
167;Andrzej;Szymański;POZNAŃ;158;2917.30;0.696
168;Joanna;Zieliński;katowice;12;27.51;1,481
169;Andrzej;Wójcik;Katowic;429;906.05;0.763
170;Maria;Nowak;łódź;221;1833,01;1.223
171;Anna;Kowalski;Łódź;473;3670.07;1.189
172;Piotr;Kowalski;lublin;14;4286.78;1,495
173;Maria;Wójcik;LODZ;148;4783.63;1.382
174;Katarzyna;Dąbrowski;Wrocław;427;1760.98;1.159
175;Katarzyna;Kamiński;POZNAŃ;74;1278,27;1.45
176;Ewa;Wójcik;Poznan;164;1867.61;37%
177;Michał;Wiśniewski;poznan;459;1890.44;1.209
178;Krzysztof;Nowak;Wwa;440;1805.30;1.322
179;Maria;Kowalczyk;LUBLIN;136;1884.94;0.617
180;Tomasz;Kamiński;Gdańsk;227;1 157.94;0,962
181;Anna;Kowalczyk;poznan;328;4830.13;1.318
182;Paweł;Kozłowski;Wwa;-18;1115.97;0.507
183;Barbara;Lewandowski;Gdańsk;68;2447.09;0.958
184;Anna;Kowalski;Warszawa;291;1781.26 zł;0,249
185;Joanna;Szymański;WROCŁAW;299 szt;1512,76;0.287
186;Joanna;Woźniak;katowice;69;80.42;1.222
187;Tomasz;Zieliński;Kraków;327;732.01;1.032
188;Krzysztof;Lewandowski;Poznań;29;3228.29;0,887
189;Joanna;Woźniak;Katowic;128;833.84;0.101
190;Anna;Szymański; Warszawa;96;1195,97;0.182
191;Maria;Kowalski;Wroclaw;212;1005.60;0.951
192;Barbara;KWIATKOWSKI;Łodz;159;328.20;0,976
193;Ewa;Kozłowski; Warszawa;433;2188.87;1.377
194;Piotr;Kozłowski;katowice;116;4983.09;0.466
195;Anna;Nowak;gdansk;365;272,14;0.99
196;Barbara;Dąbrowski;poznan;329;4643.57;1,352
197;Piotr;Szymański;warszawa;134;4524.47;1.278
198;Marcin;Wiśniewski;Gdansk;451;1949.65;0.942
199;Michał;Kwiatkowski;Katowic;430;2657.79;0.109
200;  Jan ;Lewandowski;;405;1067,71;0,972
201;Piotr;Woźniak;Lodz;17;144.24;0.249
202;Katarzyna;Kamiński;Łódź;16;217.83;1.07
203;Anna;Kozłowski;Krakow ;24;338.17;0.927
204;Joanna;Wójcik;Krakow ;484;1925.37;0,445
205;Marcin;Nowak;Warszawa;487;4240,11;1.237
206;Piotr;Kwiatkowski;POZNAŃ;52;671.94;1.209
207;Marcin;Kowalczyk;gdansk;217;1313.19 zł;0.591
208;Magdalena;Kowalski;gdansk;394;4820.36;0,805
209;Magdalena;Woźniak;Warszwa;212;165.93;0.826
210;Maria;Kamiński;Katowice;276;2834,83;
211;Piotr;Woźniak;Poznan;224;16.48;0.383
212;Anna;Kowalski;GDAŃSK;49;2462.51;1,215
213;Katarzyna;Zieliński;gdansk;296;4719.91;0.497
214;Marcin;Kozłowski;WROCŁAW;85;558.52;0.991
215;Piotr;Zieliński;Krakow ;168;1784,53;1.234.5
216;Michał;Kozłowski;KRAKÓW;455;3232.85;0,621
217;Magdalena;Kowalczyk;lublin;195;4912.23;0.983
218;Andrzej;Wiśniewski;WARSZAWA;298;1640.03;0.317
219;andrzej;Dąbrowski;Gdansk;238;2199.60;1.183
220;Agnieszka;Wiśniewski;GDAŃSK;;4426,78;0,433
221;Marcin;Kowalczyk;Poznan;371;788.37;0.447
222;Paweł;Woźniak;Gdansk;121 szt;1647.09;0.365
223;Maria;Wiśniewski;krakow;197;763.29;0.308
224;Magdalena;Kozłowski;POZNAŃ;141;988.99;0,993
225;Maria;Kowalczyk;WROCŁAW;238;179,32;0.659
226;Barbara;Kozłowski;wroclaw;238;120.37;0.46
227;Michał;Kowalski;WROCŁAW;359;2874.15;1.149
228;Barbara;Kwiatkowski;Wroclaw;348;915.71;0,274
229;Barbara;Kamiński;Poznań;459;2103.71;1.195
230;Katarzyna;Kowalczyk;Lubln;234;108,09 zł;1.302
231;Katarzyna;Dąbrowski;Gdańsk;200;4161.04;1.371
232;Maria;Kowalski;Poznan;83;3583.92;1,432
233;Marcin;Szymański;Gdańsk;434;2877.06;0.857
234;Ewa;Szymański;Wwa;406;4146.64;0.83
235;Barbara;Kozłowski;katowice;351;927,18;0.819
236;Maria;Kozłowski;Gdańsk;130;1379.04;0,66
237;Jan;Nowak;Lubln;322;3494.28;0.593
238;Krzysztof;Nowak;wroclaw;380;2008.38;1.435
239;Agnieszka;Mazur;Lubln;109;831.02;1.401
240;;Mazur;WROCŁAW;329;2 814.65;0,416
241;Tomasz;Kamiński;Lubln;151;3801.84;1.009
242;Ewa;Kamiński;wroclaw;361;1886.98;0.455
243;Barbara;Dąbrowski;LODZ;2;4029.13;1.218
244;Joanna;Wójcik;poznan;246;2429.75;0,973
245;Piotr;Dąbrowski;Gdansk;476;1522,81;0.639
246;Piotr;Kwiatkowski;Gdansk;272;4158.33;0.986
247;Jan;Dąbrowski;warszawa;488;369.28;0.51
248;Maria;Woźniak;Lodz;96;3883.76;0,585
249;Tomasz;Wójcik;lublin;313;4456.77;0.952
250;  Piotr ;Dąbrowski;Poznan;254;3467,04;0.843
251;Andrzej;Dąbrowski;Kraków ;61;1329.83;0.428
252;Tomasz;Zieliński;Katowice;248;2340.80;0,302
253;Ewa;Wójcik;katowice;277;3002.01 zł;1.128
254;Katarzyna;Kwiatkowski;GDAŃSK;357;2817.22;1.031
255;Andrzej;Kamiński;Lubln;492;3382,97;0.353
256;Joanna;DĄBROWSKI;Warszawa;313;238.89;1,131
257;Paweł;Mazur;Kraków ;248;2428.53;1.357
258;Anna;Wójcik;lublin;174;481.38;1.023
259;Paweł;Zieliński;wroclaw;223 szt;1716.36;0.452
260;Anna;Kwiatkowski;poznan;abc;4140,39;0,665
261;Krzysztof;Kwiatkowski;Gdansk;336;2466.04;0.265
262;Marcin;Kamiński;Poznan;301;4864.02;0.223
263;Anna;Lewandowski;Lublin;205;1509.03;0.109
264;Marcin;Kwiatkowski;Katowice;404;2509.21;86%
265;Michał;Woźniak;Łodz;449;3408,09;0.398
266;Andrzej;Dąbrowski;Łódź;340;914.68;0.152
267;Maria;Dąbrowski;WARSZAWA;447;4114.83;1.201
268;Krzysztof;Kwiatkowski;Poznan;216;180.86;0,129
269;Anna;Zieliński;Warszwa;61;3871.15;0.69
270;Michał;Zieliński;Kraków;349;1941,84;0.929
271;Tomasz;Zieliński;Lublin;43;3226.08;0.397
272;Tomasz;Dąbrowski; Warszawa;3;56.54;1,037
273;Piotr;Wójcik;krakow;-242;98.71;1.107
274;Agnieszka;Zieliński;Łódź;188;3872.38;1.099
275;Tomasz;Kozłowski;Krakow;322;2791,87;0.797
276;Krzysztof;Kowalski;Warszawa;32;83.50 zł;1,011
277;Piotr;Lewandowski;poznan;374;3004.60;1.441
278;Ewa;Woźniak;WARSZAWA;189;4744.31;1.119
279;Ewa;Dąbrowski;Lodz;495;3988.83;0.609
280;Katarzyna;Dąbrowski  ;Lubln;198;3892,69;0,734
281;Krzysztof;Mazur;gdansk;144;312.58;1.464
282;Paweł;Kwiatkowski;Warszwa;78;3009.68;0.532
283;Barbara;Wójcik;Lubln;351;1887.24;1.18
284;Agnieszka;Mazur;KATOWICE;353;18.41;0,468
285;Barbara;Wiśniewski;WARSZAWA;427;711,94;1.347
286;Tomasz;Kowalczyk;KATOWICE;274;434.47;0.875
287;Michał;Wójcik;wroclaw;311;297.23;0.654
288;Marcin;Kowalczyk;Warszwa;198;2303.99;0,223
289;Joanna;Mazur;krakow;204;2902.16;1.356
290;Paweł;Zieliński;Wroclaw;109;;0.353
291;Magdalena;Kamiński;GDAŃSK;400;2590.91;0.309
292;anna;Zieliński;Gdańsk;191;3167.38;1,202
293;Tomasz;Kamiński;WARSZAWA;144;2602.09;0.129
294;Anna;Wójcik;katowice;134;4628.22;0.492
295;Maria;Zieliński;łódź;432;198,97;0.381
296;Katarzyna;Lewandowski;Kraków;27 szt;183.70;0,617
297;Andrzej;Zieliński;Kraków ;328;1993.01;0.268
298;Piotr;Kowalczyk;Gdansk;329;458.02;1.389
299;Michał;Wiśniewski;katowice;190;4829.18 zł;1.488
300;  Agnieszka ;Wiśniewski;WARSZAWA;482;1 766.53;1,364
301;Jan;Kwiatkowski;WARSZAWA;403;2571.54;1.135
302;Ewa;Kowalski;krakow;163;3777.20;1.415
303;Magdalena;Woźniak;Katowice;242;1626.35;0.46
304;Maria;Kamiński;Katowic;87;2212.51;1,231
305;Jan;Zieliński;Wrocław;81;4639,12;0.409
306;Joanna;Kozłowski;LODZ;491;493.97;1.4
307;Jan;Dąbrowski;KRAKÓW;498;1705.50;1.252
308;Ewa;Nowak;Gdansk;170;1116.04;0,179
309;Andrzej;Szymański;LODZ;446;755.47;0.686
310;Agnieszka;Wiśniewski;WARSZAWA;293;4199,42;0.568
311;Katarzyna;Kowalczyk;Katowice;163;2286.36;0.775
312;Tomasz;Szymański;Wwa;459;3940.15;1,395
313;Ewa;Kwiatkowski;Poznań;132;3776.71;1.459
314;Barbara;Kowalczyk;Wroclaw;50;1956.82;0.682
315;Katarzyna;Kowalski;Poznan;328;89,98;
316;Paweł;Szymański;LODZ;1;3949.93;1,421
317;Magdalena;Wiśniewski;GDAŃSK;21;4560.79;0.406
318;Katarzyna;Wiśniewski;Łodz;395;1159.80;0.346
319;Piotr;Kwiatkowski;Kraków ;375;2482.45;0.483
320;Marcin;WIŚNIEWSKI;wroclaw;104;60,08;1,069
321;Barbara;Kwiatkowski;Warszawa ;416;1744.73;0.494
322;Ewa;Nowak; Warszawa;467;3817.27 zł;0.287
323;Krzysztof;Wójcik;Łodz;426;4928.71;0.151
324;Joanna;Woźniak;WARSZAWA;267;4661.27;1,456
325;Piotr;Nowak;Gdansk;419;4151,93;1.378
326;Michał;Woźniak;WARSZAWA;447;547.37;1.123
327;Andrzej;Szymański;Warszawa ;412;2691.28;0.129
328;Piotr;Wójcik;Lodz;53;1566.45;0,878
329;Jan;Kowalski;Krakow ;379;983.47;0.125
330;Andrzej;Szymański;WROCŁAW;;1759,99;0.231
331;Katarzyna;Kowalski;Poznań;239;2473.02;0.801
332;Krzysztof;Nowak;Kraków;208;4423.35;0,858
333;Agnieszka;Kwiatkowski;Wroclaw;343 szt;0;1.145
334;Katarzyna;Kwiatkowski;Wwa;200;3472.41;0.936
335;Anna;Lewandowski;Warszwa;186;1699,36;0.437
336;Paweł;Kozłowski;LUBLIN;418;2008.95;0,886
337;Paweł;Szymański;łódź;128;4353.78;1.028
338;Jan;Kamiński;Kraków ;96;355.63;0.706
339;Jan;Wójcik;LODZ;497;1991.29;1.497
340;Andrzej;Dąbrowski;Warszwa;453;4866,73;0,156
341;Krzysztof;Dąbrowski;Poznań;319;511.52;0.27
342;Jan;Lewandowski;Wrocław;148;574.09;0.587
343;Katarzyna;Nowak;Warszawa ;492;4780.86;0.819
344;Krzysztof;Nowak;katowice;226;628.36;0,284
345;Magdalena;Lewandowski;poznan;125;3682,29 zł;1.137
346;Magdalena;Kwiatkowski;katowice;333;1939.39;0.868
347;Joanna;Zieliński;POZNAŃ;241;4095.91;0.143
348;Paweł;Wójcik;WROCŁAW;497;2932.56;0,117
349;Joanna;Wiśniewski;wroclaw;286;1634.13;0.478
350;  Marcin ;Kowalczyk;Warszwa;12;801,25;0.194
351;Joanna;Zieliński;Warszawa ;199;4173.31;0.596
352;Maria;Szymański;Wroclaw;214;1691.71;59%
353;Marcin;Woźniak;Poznań;379;4282.75;1.391
354;Ewa;Kowalczyk;LODZ;446;525.75;0.675
355;Maria;Zieliński;lublin;214;4251,23;0.491
356;Maria;Lewandowski;Katowic;148;3618.07;0,51
357;Michał;Szymański;LUBLIN;4;3937.52;1.289
358;Ewa;Lewandowski;KATOWICE;95;2689.00;1.224
359;Barbara;Woźniak;lublin;46;4109.97;0.562
360;;Kamiński;WROCŁAW;457;4 553.76;0,115
361;Anna;Kowalczyk;KATOWICE;472;2686.86;0.537
362;Barbara;Szymański;Lubln;238;1794.98;0.933
363;Joanna;Zieliński;Wwa;35;2630.99;0.239
364;Joanna;Szymański;lublin;-451;949.19;0,69
365;michał;Zieliński;Gdańsk;88;1819,96;0.613
366;Piotr;Kwiatkowski;Poznan;57;3283.07;0.513
367;Paweł;Kwiatkowski;lublin;269;1456.73;0.816
368;Marcin;Lewandowski;Łódź;323;2829.11 zł;0,249
369;Anna;Kozłowski;Lublin;404;23.87;1.095
370;Jan;Kowalczyk;Lublin;301 szt;87,05;0.141
371;Katarzyna;Zieliński;Poznan;295;1000.75;0.942
372;Tomasz;Wiśniewski;Kraków;52;389.89;1,427
373;Ewa;Kwiatkowski;Katowic;413;4003.49;1.01
374;Paweł;Wiśniewski;wroclaw;142;855.38;0.473
375;Maria;Kwiatkowski;Krakow;99;2254,69;0.64
376;Anna;Wójcik;Lublin;226;282.38;0,434
377;Agnieszka;Kowalski;Łodz;438;875.92;0.109
378;Andrzej;Kowalczyk;LUBLIN;492;4435.30;1.471
379;Piotr;Wójcik;lublin;212;1552.70;1.325
380;Ewa;Kowalski;Wrocław;89;857,92;0,631
381;Jan;Kowalczyk;LUBLIN;59;1681.72;1.32
382;Paweł;Lewandowski;Kraków;217;4130.87;0.592
383;Agnieszka;Lewandowski;WROCŁAW;146;1728.95;0.71
384;Krzysztof;DĄBROWSKI;WARSZAWA;413;787.91;1,088
385;Piotr;Wójcik;Poznan;285;2222,11;1.271
386;Agnieszka;Wiśniewski;gdansk;111;3615.11;0.628
387;Marcin;Kowalczyk;katowice;117;4293.37;1.045
388;Krzysztof;Woźniak;KATOWICE;274;1238.79;0,951
389;Marcin;Wiśniewski;Krakow ;263;466.43;1.293
390;Michał;Kowalski;łódź;abc;1955,77;0.22
391;Katarzyna;Mazur;wroclaw;97;3317.12 zł;0.253
392;Joanna;Mazur;Poznan;34;3596.41;0,223
393;Magdalena;Wiśniewski;LUBLIN;183;2022.86;1.372
394;Tomasz;Kowalczyk;Łódź;188;3401.33;1.029
395;Joanna;Lewandowski;Wwa;361;3499,25;0.448
396;Michał;Kamiński;krakow;150;585.01;1,378
397;Agnieszka;Kozłowski; Warszawa;21;3046.56;0.703
398;Magdalena;Wiśniewski;Lublin;283;1561.48;0.994
399;Katarzyna;Woźniak;WROCŁAW;367;2608.69;1.396
400;  Joanna ;Kowalski;;147;4506,34;1,325
401;Anna;Wójcik;Kraków;406;1599.57;1.188
402;Joanna;Kozłowski;KRAKÓW;356;3722.23;1.497
403;Agnieszka;Kowalczyk;Krakow;485;4748.56;0.72
404;Paweł;Kozłowski;Katowice;347;3494.29;0,7
405;Tomasz;Zieliński;Wrocław;488;3516,67;1.228
406;Krzysztof;Wiśniewski;Lodz;279;1308.78;1.449
407;Katarzyna;Kamiński;GDAŃSK;48 szt;1015.04;0.535
408;Tomasz;Dąbrowski;Katowic;122;3531.05;0,108
409;Andrzej;Wiśniewski;gdansk;69;4424.58;0.299
410;Agnieszka;Kamiński;Kraków ;218;3804,98;0.337
411;Tomasz;Woźniak;Katowic;426;1039.56;1.066
412;Jan;Kamiński;katowice;23;311.06;0,493
413;Marcin;Nowak;POZNAŃ;493;573.81;0.554
414;Andrzej;Woźniak;gdansk;87;2792.08 zł;0.164
415;Andrzej;Mazur;Katowice;383;3588,54;1.472
416;Krzysztof;Nowak;Katowic;251;957.14;0,86
417;Jan;Kamiński;Krakow ;147;3142.44;1.409
418;Krzysztof;Dąbrowski;Wrocław;71;3739.77;0.135
419;Michał;Kwiatkowski;łódź;189;936.82;0.993
420;Katarzyna;Nowak  ;poznan;195;930.87;
421;Paweł;Wójcik;Gdansk;283;4599.37;1.273
422;Krzysztof;Wójcik;Warszawa;55;2838.68;0.979
423;Michał;Kowalski;WROCŁAW;217;2502.66;0.32
424;Magdalena;Woźniak;krakow;353;1145.22;0,294
425;Michał;Nowak;Warszwa;226;2402,21;0.406
426;Joanna;Kowalski;Warszwa;313;4278.09;1.202
427;Barbara;Wiśniewski;Poznań;339;285.94;1.095
428;Paweł;Nowak;Katowice;342;4780.48;0,347
429;Katarzyna;Lewandowski;Poznań;227;4022.78;1.045
430;Marcin;Zieliński;Kraków ;166;2588,73;1.234.5
431;Tomasz;Lewandowski;Kraków;371;3385.47;0.953
432;Magdalena;Woźniak;LUBLIN;247;3285.92;0,292
433;Paweł;Szymański;Warszwa;97;1120.19;1.136
434;Piotr;Wiśniewski;GDAŃSK;185;2654.59;0.891
435;Michał;Kowalczyk;krakow;93;;0.384
436;Maria;Wójcik;Poznań;97;2658.57;0,452
437;Ewa;Wójcik;katowice;278;2867.81 zł;0.258
438;piotr;Kwiatkowski;Lublin;410;2203.24;1.309
439;Maria;Dąbrowski;KRAKÓW;426;3432.95;0.862
440;Marcin;Woźniak;Katowice;;1873,09;96%
441;Michał;Wójcik;WARSZAWA;22;85.70;0.932
442;Marcin;Zieliński;Poznań;363;686.62;1.372
443;Piotr;Woźniak;Wrocław;470;3643.77;0.597
444;Joanna;Kozłowski;Gdańsk;423 szt;1285.52;0,435
445;Joanna;Kozłowski;Katowice;419;3022,94;0.24
446;Paweł;Mazur;Kraków;474;4552.04;0.439
447;Joanna;Wójcik;Katowice;430;4943.77;0.716
448;Jan;ZIELIŃSKI;Kraków;410;1299.53;0,31
449;Magdalena;Kwiatkowski;lublin;302;4378.26;0.854
450;  Krzysztof ;Zieliński;Warszawa;176;4972,48;0.782
451;Ewa;Kwiatkowski;Warszwa;429;186.94;0.355
452;Michał;Kwiatkowski;katowice;355;4227.11;0,651
453;Piotr;Kamiński;Gdansk;160;4470.98;0.925
454;Anna;Wójcik;łódź;373;2344.12;0.908
455;Michał;Kamiński;Gdańsk;-172;2900,02;0.567
