nr_zamowienia;data_zamowienia;klient;miasto;wojewodztwo;kategoria;produkt;ilosc;cena_jedn;rabat_proc;wartosc;status
ZAM/2024/00032;2024-05-24;Anna Wójcik;Katowice;śląskie;AGD;Czajnik;42;3203,17;0;134533,14;W trakcie
ZAM/2024/00033;2024-07-23;Ewa Szymański;Łódź;łódzkie;Elektronika;Monitor 27;35;3573,70;0;125079,50;Anulowane
ZAM/2024/00034;2024-12-20;Monika Grabowski;Szczecin;zachodniopomorskie;Odzież;Sukienka;45;4532,11;0;203944,95;Zwrot
ZAM/2024/00035;2024-05-13;Andrzej Krawczyk;Wrocław;dolnośląskie;Elektronika;Monitor 27;36;2848,37;10;92287,19;Zwrot
ZAM/2024/00036;2024-11-30;Marcin Wójcik;Rzeszów;podkarpackie;AGD;Lodówka XL;16;4500,91;0;72014,56;Anulowane
ZAM/2024/00037;2024-09-25;Jan Kozłowski;Szczecin;zachodniopomorskie;AGD;Pralka Eko;29;1716,84;5;47298,94;Zwrot
ZAM/2024/00038;2024-01-30;Marcin Wiśniewski;Lublin;lubelskie;Elektronika;Smartfon X;35;1681,66;20;47086,48;Zwrot
ZAM/2024/00039;2024-06-01;Robert Grabowski;Białystok;podlaskie;Ogród;Wąż ogrodowy;38;4746,27;0;180358,26;Zwrot
ZAM/2024/00040;2025-06-23;Monika Woźniak;Rzeszów;podkarpackie;Odzież;Sweter;33;4219,67;10;125324,20;Anulowane
ZAM/2024/00041;2025-01-25;Aleksandra Lewandowski;Poznań;wielkopolskie;Odzież;Sweter;34;1372,07;5;44317,86;Zwrot
ZAM/2024/00042;2024-04-27;Robert Kowalski;Bydgoszcz;kujawsko-pomorskie;Książki;Powieść kryminał;35;4847,32;10;152690,58;Zrealizowane
ZAM/2024/00043;2025-05-17;Piotr Kamiński;Kraków;małopolskie;Ogród;Wąż ogrodowy;26;1353,37;5;33428,24;W trakcie
ZAM/2024/00044;2024-12-13;Barbara Piotrowski;Szczecin;zachodniopomorskie;Zabawki;Klocki XXL;13;2103,49;0;27345,37;W trakcie
ZAM/2024/00045;2024-01-24;Anna Lewandowski;Łódź;łódzkie;Spożywcze;Kawa ziarnista;44;1427,55;15;53390,37;W trakcie
ZAM/2024/00046;2025-05-25;Maria Piotrowski;Rzeszów;podkarpackie;AGD;Czajnik;40;1260,25;0;50410,00;Zwrot
ZAM/2024/00047;2024-01-24;Michał Kwiatkowski;Szczecin;zachodniopomorskie;Odzież;Sweter;14;4320,55;10;54438,93;W trakcie
ZAM/2024/00048;2024-05-19;Agnieszka Kozłowski;Łódź;łódzkie;Zabawki;Gra planszowa;21;4454,30;0;93540,30;W trakcie
ZAM/2024/00049;2024-04-09;Tomasz Zieliński;Łódź;łódzkie;AGD;Mikrofalówka;25;494,10;20;9882,00;W trakcie
ZAM/2024/00050;2024-07-24;Michał Kowalski;Kraków;małopolskie;Spożywcze;Miód;44;1794,35;20;63161,12;Zrealizowane
ZAM/2024/00051;2025-06-01;Paweł Grabowski;Białystok;podlaskie;Spożywcze;Kawa ziarnista;31;539,79;0;16733,49;Zwrot
ZAM/2024/00052;2024-05-30;Marcin Kamiński;Kraków;małopolskie;Spożywcze;Herbata zielona;11;4951,59;15;46297,37;Zrealizowane
ZAM/2024/00053;2024-05-17;Andrzej Wiśniewski;Kraków;małopolskie;Zabawki;Samochód RC;30;2137,94;0;64138,20;W trakcie
ZAM/2024/00054;2025-01-17;Jan Nowak;Wrocław;dolnośląskie;Odzież;Sukienka;30;1804,23;0;54126,90;W trakcie
ZAM/2024/00055;2024-06-18;Maria Grabowski;Warszawa;mazowieckie;Zabawki;Klocki XXL;46;4379,37;15;171233,37;W trakcie
ZAM/2024/00056;2025-05-31;Łukasz Dąbrowski;Poznań;wielkopolskie;Meble;Fotel biurowy;48;3717,45;0;178437,60;W trakcie
ZAM/2024/00057;2024-12-03;Monika Kozłowski;Lublin;lubelskie;Odzież;Sukienka;14;3615,94;0;50623,16;Anulowane
ZAM/2024/00058;2025-04-25;Maria Kowalski;Gdańsk;pomorskie;Elektronika;Smartfon X;18;4723,92;15;72275,98;Anulowane
ZAM/2024/00059;2024-08-09;Michał Pawłowski;Łódź;łódzkie;AGD;Odkurzacz Robot;33;4999,43;15;140234,01;Zrealizowane
ZAM/2024/00060;2025-02-08;Łukasz Kowalski;Kraków;małopolskie;AGD;Lodówka XL;17;2223,79;10;34023,99;W trakcie
ZAM/2024/00061;2025-01-19;Jan Wójcik;Poznań;wielkopolskie;Meble;Szafa 3D;22;2754,78;10;54544,64;Zrealizowane
ZAM/2024/00062;2025-03-31;Piotr Nowicki;Bydgoszcz;kujawsko-pomorskie;Elektronika;Monitor 27;11;1935,64;0;21292,04;Zrealizowane
ZAM/2024/00063;2025-03-15;Ewa Kwiatkowski;Poznań;wielkopolskie;Książki;Album sztuki;20;1834,21;0;36684,20;Anulowane
ZAM/2024/00064;2024-10-17;Magdalena Kowalski;Warszawa;mazowieckie;Spożywcze;Miód;3;3168,62;5;9030,57;Zrealizowane
ZAM/2024/00065;2024-11-18;Michał Nowak;Bydgoszcz;kujawsko-pomorskie;Zabawki;Klocki XXL;15;2153,27;5;30684,10;W trakcie
ZAM/2024/00066;2024-02-16;Robert Wójcik;Rzeszów;podkarpackie;Ogród;Kosiarka;16;3022,07;0;48353,12;Zwrot
ZAM/2024/00067;2025-04-11;Maria Lewandowski;Warszawa;mazowieckie;Zabawki;Gra planszowa;10;630,38;5;5988,61;Zwrot
ZAM/2024/00068;2025-04-11;Aleksandra Szymański;Białystok;podlaskie;Książki;Poradnik kuchnia;50;3721,89;20;148875,60;Anulowane
ZAM/2024/00069;2024-05-11;Agnieszka Piotrowski;Kraków;małopolskie;Meble;Regał;40;4234,33;0;169373,20;W trakcie
ZAM/2024/00070;2024-10-12;Agnieszka Lewandowski;Wrocław;dolnośląskie;Spożywcze;Kawa ziarnista;41;313,32;0;12846,12;Zwrot
ZAM/2024/00071;2024-01-28;Aleksandra Nowak;Kraków;małopolskie;Spożywcze;Miód;18;371,73;0;6691,14;W trakcie
ZAM/2024/00072;2025-01-17;Ewa Piotrowski;Gdańsk;pomorskie;Spożywcze;Czekolada;22;2477,07;0;54495,54;Zrealizowane
ZAM/2024/00073;2025-04-03;Aleksandra Lewandowski;Katowice;śląskie;Książki;Poradnik kuchnia;25;4051,28;0;101282,00;Anulowane
ZAM/2024/00074;2024-10-24;Monika Kamiński;Lublin;lubelskie;Zabawki;Gra planszowa;7;2315,45;0;16208,15;Zrealizowane
ZAM/2024/00075;2025-03-18;Łukasz Pawłowski;Katowice;śląskie;Ogród;Donica ceramiczna;50;56,36;0;2818,00;Zrealizowane
ZAM/2024/00076;2024-11-07;Ewa Dąbrowski;Poznań;wielkopolskie;Odzież;Koszula bawełna;23;3289,73;0;75663,79;Zrealizowane
ZAM/2024/00077;2024-11-26;Andrzej Pawłowski;Bydgoszcz;kujawsko-pomorskie;Meble;Komoda;34;4017,21;0;136585,14;Anulowane
ZAM/2024/00078;2024-08-14;Michał Grabowski;Wrocław;dolnośląskie;AGD;Mikrofalówka;24;130,34;15;2658,94;Zwrot
ZAM/2024/00079;2024-07-18;Łukasz Kozłowski;Lublin;lubelskie;Odzież;Sweter;37;894,66;0;33102,42;Anulowane
ZAM/2024/00080;2024-01-23;Agnieszka Grabowski;Warszawa;mazowieckie;Odzież;Sweter;19;4832,41;15;78043,42;Zrealizowane
ZAM/2024/00081;2024-11-08;Monika Wiśniewski;Gdańsk;pomorskie;AGD;Mikrofalówka;48;535,96;0;25726,08;Zrealizowane
ZAM/2024/00082;2024-05-27;Maria Kwiatkowski;Wrocław;dolnośląskie;Spożywcze;Oliwa z oliwek;49;4539,60;0;222440,40;Zwrot
ZAM/2024/00083;2024-12-24;Paweł Dąbrowski;Białystok;podlaskie;Odzież;Sukienka;32;2691,32;15;73203,90;Zrealizowane
ZAM/2024/00084;2025-02-24;Joanna Kowalski;Lublin;lubelskie;AGD;Odkurzacz Robot;35;3204,95;10;100955,93;Zrealizowane
ZAM/2024/00085;2024-04-22;Barbara Kwiatkowski;Łódź;łódzkie;Spożywcze;Herbata zielona;41;1883,85;0;77237,85;W trakcie
ZAM/2024/00086;2025-02-02;Barbara Grabowski;Poznań;wielkopolskie;Meble;Fotel biurowy;31;1549,13;0;48023,03;W trakcie
ZAM/2024/00087;2024-07-02;Anna Krawczyk;Warszawa;mazowieckie;Ogród;Grill gazowy;21;552,28;0;11597,88;W trakcie
ZAM/2024/00088;2024-08-29;Aleksandra Piotrowski;Bydgoszcz;kujawsko-pomorskie;Spożywcze;Oliwa z oliwek;12;4473,65;5;50999,61;Anulowane
ZAM/2024/00089;2025-05-05;Krzysztof Piotrowski;Lublin;lubelskie;Zabawki;Gra planszowa;50;4785,52;5;227312,20;Zwrot
ZAM/2024/00090;2024-02-20;Marcin Kowalczyk;Lublin;lubelskie;Meble;Fotel biurowy;43;4622,03;0;198747,29;Anulowane
ZAM/2024/00091;2025-04-05;Agnieszka Kwiatkowski;Bydgoszcz;kujawsko-pomorskie;Odzież;Sukienka;11;3861,93;0;42481,23;W trakcie
ZAM/2024/00092;2024-09-29;Robert Nowicki;Warszawa;mazowieckie;Odzież;Sweter;50;899,70;0;44985,00;W trakcie
ZAM/2024/00093;2024-03-25;Joanna Szymański;Bydgoszcz;kujawsko-pomorskie;AGD;Odkurzacz Robot;45;2348,62;15;89834,71;Anulowane
ZAM/2024/00094;2024-01-20;Marcin Kwiatkowski;Wrocław;dolnośląskie;AGD;Odkurzacz Robot;14;195,73;5;2603,21;Zwrot
ZAM/2024/00095;2024-06-10;Magdalena Dąbrowski;Poznań;wielkopolskie;Książki;Powieść kryminał;36;1535,44;5;52512,05;Anulowane
ZAM/2024/00096;2024-03-17;Tomasz Wójcik;Białystok;podlaskie;Książki;Biografia;48;4834,86;20;185658,62;Zwrot
ZAM/2024/00097;2024-01-13;Michał Piotrowski;Wrocław;dolnośląskie;Meble;Regał;8;2295,85;0;18366,80;W trakcie
ZAM/2024/00098;2024-10-24;Michał Nowicki;Rzeszów;podkarpackie;Meble;Szafa 3D;49;1967,07;15;81928,47;Anulowane
ZAM/2024/00099;2024-07-12;Marcin Mazur;Rzeszów;podkarpackie;AGD;Mikrofalówka;20;4725,73;10;85063,14;Anulowane
ZAM/2024/00100;2025-04-02;Michał Wiśniewski;Kraków;małopolskie;Odzież;Sweter;7;665,87;15;3961,93;W trakcie
ZAM/2024/00101;2024-07-16;Michał Nowak;Katowice;śląskie;AGD;Pralka Eko;15;171,46;0;2571,90;Zwrot
ZAM/2024/00102;2024-03-15;Paweł Kwiatkowski;Szczecin;zachodniopomorskie;Odzież;Koszula bawełna;50;748,38;15;31806,15;Zwrot
ZAM/2024/00103;2024-12-05;Barbara Michalski;Warszawa;mazowieckie;Książki;Album sztuki;45;1595,33;20;57431,88;Zrealizowane
ZAM/2024/00104;2024-09-23;Paweł Lewandowski;Gdańsk;pomorskie;Meble;Komoda;7;2790,43;0;19533,01;Anulowane
ZAM/2024/00105;2024-10-27;Maria Michalski;Rzeszów;podkarpackie;Odzież;Buty sportowe;50;2698,79;0;134939,50;W trakcie
ZAM/2024/00106;2024-12-27;Aleksandra Grabowski;Szczecin;zachodniopomorskie;Odzież;Sweter;46;998,86;10;41352,80;Zrealizowane
ZAM/2024/00107;2024-07-21;Piotr Kowalczyk;Wrocław;dolnośląskie;Ogród;Parasol;27;3488,53;0;94190,31;Anulowane
ZAM/2024/00108;2024-09-29;Andrzej Wójcik;Katowice;śląskie;Odzież;Koszula bawełna;37;2721,68;10;90631,94;Anulowane
ZAM/2024/00109;2024-06-21;Paweł Michalski;Łódź;łódzkie;AGD;Pralka Eko;19;3428,50;0;65141,50;Anulowane
ZAM/2024/00110;2024-06-18;Katarzyna Michalski;Szczecin;zachodniopomorskie;AGD;Odkurzacz Robot;3;2022,91;20;4854,98;Anulowane
ZAM/2024/00111;2025-01-25;Aleksandra Pawłowski;Białystok;podlaskie;Elektronika;Smartfon X;13;2065,90;0;26856,70;Zwrot
ZAM/2024/00112;2024-05-01;Łukasz Mazur;Łódź;łódzkie;Zabawki;Gra planszowa;9;1325,64;10;10737,68;Zrealizowane
ZAM/2024/00113;2024-02-08;Tomasz Mazur;Katowice;śląskie;AGD;Odkurzacz Robot;23;2063,00;10;42704,10;Zwrot
ZAM/2024/00114;2024-10-15;Ewa Krawczyk;Rzeszów;podkarpackie;Książki;Biografia;8;2834,16;10;20405,95;Zwrot
ZAM/2024/00115;2025-03-06;Jan Dąbrowski;Warszawa;mazowieckie;Meble;Regał;28;3662,70;10;92300,04;Anulowane
ZAM/2024/00116;2024-03-12;Agnieszka Wójcik;Katowice;śląskie;Spożywcze;Miód;26;4863,01;5;120116,35;W trakcie
ZAM/2024/00117;2024-11-09;Michał Zieliński;Kraków;małopolskie;Zabawki;Gra planszowa;27;2824,16;0;76252,32;Zwrot
ZAM/2024/00118;2024-05-05;Piotr Wójcik;Szczecin;zachodniopomorskie;Odzież;Kurtka zimowa;35;2883,67;5;95882,03;Anulowane
ZAM/2024/00119;2024-09-06;Magdalena Kowalski;Gdańsk;pomorskie;Odzież;Kurtka zimowa;29;4476,67;20;103858,74;Zwrot
ZAM/2024/00120;2024-05-24;Joanna Pawłowski;Wrocław;dolnośląskie;Elektronika;Słuchawki BT;2;2279,81;0;4559,62;Anulowane
ZAM/2024/00121;2025-05-25;Tomasz Piotrowski;Wrocław;dolnośląskie;Spożywcze;Czekolada;45;4485,01;0;201825,45;Anulowane
ZAM/2024/00122;2025-04-28;Jan Kamiński;Białystok;podlaskie;Spożywcze;Miód;41;1188,71;0;48737,11;Anulowane
ZAM/2024/00123;2024-11-16;Krzysztof Kwiatkowski;Rzeszów;podkarpackie;Odzież;Buty sportowe;45;4785,16;20;172265,76;Zwrot
ZAM/2024/00124;2024-03-21;Katarzyna Zieliński;Poznań;wielkopolskie;AGD;Lodówka XL;18;913,26;0;16438,68;Anulowane
ZAM/2024/00125;2024-10-06;Joanna Grabowski;Kraków;małopolskie;Spożywcze;Czekolada;12;3338,49;0;40061,88;Zrealizowane
ZAM/2024/00126;2025-04-18;Piotr Krawczyk;Szczecin;zachodniopomorskie;AGD;Czajnik;3;44,81;10;120,99;Anulowane
ZAM/2024/00127;2025-03-09;Łukasz Wiśniewski;Łódź;łódzkie;Meble;Stół dębowy;16;904,84;15;12305,82;Zrealizowane
ZAM/2024/00128;2024-07-09;Tomasz Nowak;Bydgoszcz;kujawsko-pomorskie;Ogród;Parasol;25;23,26;5;552,42;W trakcie
ZAM/2024/00129;2024-03-06;Monika Kozłowski;Gdańsk;pomorskie;Ogród;Grill gazowy;34;1464,31;20;39829,23;W trakcie
ZAM/2024/00130;2024-06-18;Maria Michalski;Lublin;lubelskie;Spożywcze;Oliwa z oliwek;36;3867,41;20;111381,41;Anulowane
ZAM/2024/00131;2025-05-15;Monika Zieliński;Bydgoszcz;kujawsko-pomorskie;Ogród;Donica ceramiczna;3;1020,50;15;2602,28;Zwrot
ZAM/2024/00132;2024-07-03;Paweł Kowalczyk;Bydgoszcz;kujawsko-pomorskie;Elektronika;Tablet Mini;32;4032,80;10;116144,64;Anulowane
ZAM/2024/00133;2024-02-01;Piotr Wójcik;Łódź;łódzkie;Spożywcze;Miód;10;279,35;5;2653,82;Anulowane
ZAM/2024/00134;2025-06-22;Krzysztof Pawłowski;Katowice;śląskie;AGD;Czajnik;11;1900,51;0;20905,61;Zwrot
ZAM/2024/00135;2025-04-10;Anna Dąbrowski;Lublin;lubelskie;Ogród;Donica ceramiczna;45;1089,55;0;49029,75;Zwrot
ZAM/2024/00136;2024-05-17;Tomasz Krawczyk;Szczecin;zachodniopomorskie;Elektronika;Laptop Pro;16;2055,17;10;29594,45;Zrealizowane
ZAM/2024/00137;2025-02-06;Monika Woźniak;Katowice;śląskie;Książki;Powieść kryminał;3;3402,46;15;8676,27;W trakcie
ZAM/2024/00138;2024-10-29;Krzysztof Wójcik;Szczecin;zachodniopomorskie;Spożywcze;Oliwa z oliwek;30;439,21;0;13176,30;Anulowane
ZAM/2024/00139;2024-12-11;Aleksandra Lewandowski;Warszawa;mazowieckie;Odzież;Sukienka;38;3252,45;0;123593,10;W trakcie
ZAM/2024/00140;2025-04-18;Michał Lewandowski;Lublin;lubelskie;Książki;Powieść kryminał;14;2098,11;0;29373,54;W trakcie
ZAM/2024/00141;2025-05-06;Marcin Mazur;Wrocław;dolnośląskie;Ogród;Donica ceramiczna;31;2241,07;15;59052,19;Zwrot
ZAM/2024/00142;2024-07-28;Monika Mazur;Lublin;lubelskie;AGD;Pralka Eko;45;1389,70;0;62536,50;Zrealizowane
ZAM/2024/00143;2025-06-15;Katarzyna Szymański;Szczecin;zachodniopomorskie;Książki;Album sztuki;42;3578,80;0;150309,60;Anulowane
ZAM/2024/00144;2024-02-28;Tomasz Kozłowski;Łódź;łódzkie;Spożywcze;Kawa ziarnista;2;4989,95;20;7983,92;Zwrot
ZAM/2024/00145;2024-03-26;Michał Dąbrowski;Poznań;wielkopolskie;Elektronika;Słuchawki BT;26;3043,50;5;75174,45;W trakcie
ZAM/2024/00146;2024-06-03;Robert Michalski;Łódź;łódzkie;Elektronika;Smartfon X;20;2059,30;5;39126,70;W trakcie
ZAM/2024/00147;2025-06-13;Monika Szymański;Gdańsk;pomorskie;Ogród;Wąż ogrodowy;10;4401,78;20;35214,24;Zwrot
ZAM/2024/00148;2025-02-19;Tomasz Mazur;Szczecin;zachodniopomorskie;Zabawki;Lalka;7;1467,44;0;10272,08;W trakcie
ZAM/2024/00149;2024-05-23;Anna Kowalski;Rzeszów;podkarpackie;Ogród;Parasol;1;4045,74;15;3438,88;Zrealizowane
ZAM/2024/00150;2024-08-09;Monika Kozłowski;Białystok;podlaskie;AGD;Mikrofalówka;16;3918,70;0;62699,20;Zwrot
ZAM/2024/00151;2024-05-02;Michał Piotrowski;Warszawa;mazowieckie;Ogród;Wąż ogrodowy;22;1429,97;15;26740,44;W trakcie
ZAM/2024/00152;2024-06-11;Michał Lewandowski;Katowice;śląskie;Odzież;Buty sportowe;43;3564,42;10;137943,05;Anulowane
ZAM/2024/00153;2025-03-08;Tomasz Piotrowski;Bydgoszcz;kujawsko-pomorskie;Meble;Regał;20;3503,91;0;70078,20;Zrealizowane
ZAM/2024/00154;2025-01-08;Piotr Mazur;Poznań;wielkopolskie;Elektronika;Monitor 27;32;4235,50;0;135536,00;Anulowane
ZAM/2024/00155;2024-09-16;Piotr Kowalski;Warszawa;mazowieckie;Zabawki;Puzzle 1000;24;2832,91;0;67989,84;Zwrot
ZAM/2024/00156;2025-01-28;Aleksandra Dąbrowski;Gdańsk;pomorskie;Elektronika;Tablet Mini;46;4712,47;20;173418,90;Zrealizowane
ZAM/2024/00157;2025-02-24;Aleksandra Kwiatkowski;Kraków;małopolskie;Meble;Fotel biurowy;30;4399,82;5;125394,87;Zrealizowane
ZAM/2024/00158;2024-05-19;Robert Szymański;Poznań;wielkopolskie;Ogród;Donica ceramiczna;31;4885,11;0;151438,41;W trakcie
ZAM/2024/00159;2024-10-03;Agnieszka Szymański;Białystok;podlaskie;Spożywcze;Herbata zielona;34;14,63;10;447,68;Zrealizowane
ZAM/2024/00160;2024-09-02;Monika Piotrowski;Białystok;podlaskie;AGD;Czajnik;36;4421,90;15;135310,14;Anulowane
ZAM/2024/00161;2024-12-20;Maria Kowalski;Gdańsk;pomorskie;Spożywcze;Oliwa z oliwek;44;790,50;0;34782,00;W trakcie
ZAM/2024/00162;2024-12-07;Aleksandra Piotrowski;Bydgoszcz;kujawsko-pomorskie;Meble;Szafa 3D;27;1435,67;15;32948,63;Zwrot
ZAM/2024/00163;2024-08-30;Agnieszka Kozłowski;Gdańsk;pomorskie;Odzież;Sweter;48;638,73;0;30659,04;Zrealizowane
ZAM/2024/00164;2024-11-13;Maria Krawczyk;Szczecin;zachodniopomorskie;Ogród;Grill gazowy;11;3111,67;5;32516,95;Zrealizowane
ZAM/2024/00165;2024-12-18;Krzysztof Mazur;Szczecin;zachodniopomorskie;Książki;Poradnik kuchnia;46;3177,53;0;146166,38;W trakcie
ZAM/2024/00166;2024-12-07;Marcin Pawłowski;Łódź;łódzkie;Książki;Atlas świata;40;3703,83;0;148153,20;W trakcie
ZAM/2024/00167;2024-07-24;Michał Michalski;Białystok;podlaskie;Meble;Stół dębowy;42;931,37;0;39117,54;W trakcie
ZAM/2024/00168;2024-10-01;Krzysztof Kwiatkowski;Poznań;wielkopolskie;Książki;Biografia;44;4944,14;0;217542,16;Zrealizowane
ZAM/2024/00169;2024-02-13;Marcin Woźniak;Gdańsk;pomorskie;AGD;Odkurzacz Robot;22;4524,61;20;79633,14;Zwrot
ZAM/2024/00170;2024-06-24;Joanna Wiśniewski;Poznań;wielkopolskie;Ogród;Donica ceramiczna;15;1964,49;10;26520,61;W trakcie
ZAM/2024/00171;2025-02-02;Marcin Nowicki;Poznań;wielkopolskie;Odzież;Sukienka;12;4170,84;10;45045,07;Zwrot
ZAM/2024/00172;2025-03-19;Maria Kowalczyk;Gdańsk;pomorskie;Elektronika;Słuchawki BT;37;2848,48;0;105393,76;Anulowane
ZAM/2024/00173;2024-11-25;Agnieszka Wiśniewski;Katowice;śląskie;Spożywcze;Czekolada;36;1305,32;0;46991,52;Zrealizowane
ZAM/2024/00174;2024-01-08;Magdalena Wiśniewski;Warszawa;mazowieckie;Odzież;Buty sportowe;31;707,26;20;17540,05;Zwrot
ZAM/2024/00175;2025-05-10;Anna Kwiatkowski;Gdańsk;pomorskie;Książki;Album sztuki;4;1082,58;10;3897,29;Anulowane
ZAM/2024/00176;2024-10-10;Marcin Woźniak;Wrocław;dolnośląskie;Ogród;Parasol;47;244,47;20;9192,07;W trakcie
ZAM/2024/00177;2024-05-01;Piotr Szymański;Gdańsk;pomorskie;Elektronika;Tablet Mini;20;324,11;5;6158,09;W trakcie
ZAM/2024/00178;2024-03-06;Joanna Kowalski;Szczecin;zachodniopomorskie;Meble;Stół dębowy;48;2480,01;0;119040,48;Zrealizowane
ZAM/2024/00179;2025-05-08;Michał Kwiatkowski;Poznań;wielkopolskie;Elektronika;Laptop Pro;37;712,49;0;26362,13;Anulowane
ZAM/2024/00180;2025-06-02;Krzysztof Kozłowski;Białystok;podlaskie;Ogród;Donica ceramiczna;20;1403,27;15;23855,59;Zrealizowane
ZAM/2024/00181;2024-09-27;Paweł Lewandowski;Rzeszów;podkarpackie;Odzież;Koszula bawełna;4;3718,54;10;13386,74;W trakcie
ZAM/2024/00182;2024-06-30;Joanna Wójcik;Łódź;łódzkie;Odzież;Buty sportowe;23;919,88;0;21157,24;Zwrot
ZAM/2024/00183;2025-05-29;Anna Mazur;Kraków;małopolskie;Zabawki;Gra planszowa;49;1031,37;0;50537,13;Zrealizowane
ZAM/2024/00184;2024-04-20;Łukasz Dąbrowski;Lublin;lubelskie;Ogród;Kosiarka;32;2046,99;15;55678,13;Anulowane
